datasetTitle,datasetKey,type,hostingOrganization,hostingOrganizationKey,publishingOrganization,publishingOrganizationKey,publishingCountry,country_name
Global Register of Introduced and Invasive Species GRIIS - Luxembourg,a811c07f-206d-46b8-ad59-93af4e2ce7c0,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Luxembourg
GRIIS Checklist of Introduced and Invasive Species - Saint Lucia,24f17577-c3b9-4bc5-be8f-2f902b25cbbb,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Saint Lucia
GRIIS Checklist of Introduced and Invasive Species - Antigua and Barbuda,f14b5352-5e8b-4d36-bc38-45c2e5fd7297,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Antigua and Barbuda
GRIIS Checklist of Introduced and Invasive Species - Bosnia and Herzegovina,e8508e67-3e63-4a77-94b1-47c3fb1d07b7,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Bosnia and Herzegovina
GRIIS Checklist of Introduced and Invasive Species - Saint Kitts and Nevis,88b8354b-e131-407f-8754-5b35af6cc05a,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Saint Kitts and Nevis
Global Register of Introduced and Invasive Species - Marshall Islands,51f5af06-7176-4ec1-b86e-776d11bc49c8,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Marshall Islands
"Global Register of Introduced and Invasive Species - Bikar Atoll, Marshall Islands",efc3c005-1477-409e-b3cd-2503e17042dc,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Bikar Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Bokak Atoll, Marshall Islands",d46d249e-0142-4e4d-b452-e1b420b19d3b,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Bokak Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Jabat Island, Marshall Islands",28f540aa-d383-4673-a780-66b07142b7e8,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Jabat Island, Marshall Islands"
"Global Register of Introduced and Invasive Species - Erikub Atoll, Marshall Islands",01f0104e-a40a-4b9b-a1c2-bd21a37509e7,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Erikub Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Likiep Atoll, Marshall Islands",13c7e891-a257-484a-b1e4-bbc501fecf43,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Likiep Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Wotho Atoll, Marshall Islands",56ca4807-3e5d-4637-9add-8692fe14643d,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Wotho Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Jemo Island, Marshall Islands",ab28b92a-a74d-4c6f-a8da-4fe1eb1f7e98,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Jemo Island, Marshall Islands"
"Global Register of Introduced and Invasive Species - Namu Atoll, Marshall Islands",448aabf8-1a3b-4f89-8863-0739d04997f6,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Namu Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Lae Atoll, Marshall Islands",5f5cfa6d-1cb3-4d61-91d9-d6910ab54d8d,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Lae Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Ailinginae Atoll, Marshall Islands",a0c74038-3622-4964-a42c-de14e19e677b,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Ailinginae Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Island Niulakita, Niutao - Tuvalu",4591953b-5f25-4d12-bae3-0aaded050618,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Tuvalu
"Global Register of Introduced and Invasive Species - Namdrik Atoll, Marshall Islands",47b078e6-3e1e-49fe-ac05-1e9e41706804,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Namdrik Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Rongdrik Atoll, Marshall Islands",c59b6585-a46d-4d18-9f5d-d472e4b7569f,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Rongdrik Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Aur Atoll, Marshall Islands",47937586-eb88-4ec2-bba9-6300399bd134,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Aur Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species -  Atoll Nanumea, Tuvalu",85d83019-fad8-477e-9a52-ebb4f91a91bf,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Atoll Nanumea, Tuvalu"
"Global Register of Introduced and Invasive Species - Niua Islands, Tonga",9e4e8de7-acad-4bd5-8796-d6d530981209,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Niua Islands, Tonga"
"Global Register of Introduced and Invasive Species - Taka Atoll, Marshall Islands",c4925778-5311-4208-9df9-a70155221340,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Taka Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species -  Ailuk Atoll, Marshall Islands",f6dc16dc-9195-4dee-972f-0a02f8dafd4b,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Ailuk Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Ujaelang Atoll, Marshall Islands",69650e82-e276-441e-beb5-cbae5577df05,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Ujaelang Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species -  Ailinglaplap Atoll, Marshall Islands",647a95b5-3b3c-48ab-9ff7-8b88de159094,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Ailinglaplap Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species -  Atoll Nukulaelae, Tuvalu",c1dd2cc1-edc0-4d31-bdae-b30e637c7263,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Atoll Nukulaelae, Tuvalu"
"Global Register of Introduced and Invasive Species -  Atoll Nui, Tuvalu",629699d2-0ce0-4aeb-a9f3-7e4695129b51,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Atoll Nui, Tuvalu"
"Global Register of Introduced and Invasive Species - Mejit Island, Marshall Islands",ac13df75-40b4-4022-9173-c074d3d843df,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Mejit Island, Marshall Islands"
"Global Register of Introduced and Invasive Species - Namdrik Atoll Ramsar site, Marshall Islands",5a49f00b-4a4b-418b-90c1-9b986be36a75,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Namdrik Atoll Ramsar site, Marshall Islands"
"Global Register of Introduced and Invasive Species - Utirik Atoll, Marshall Islands",842eaa6f-8857-4169-8830-49a11abc672b,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Utirik Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Atoll Funafuti, Tuvalu",ed28b567-5c70-4cc7-8e37-6dca8de0425d,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Atoll Funafuti, Tuvalu"
"Global Register of Introduced and Invasive Species - Ebon Atoll, Marshall Islands",933d260c-fb6d-4823-aeff-ad3bde1a1f12,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Ebon Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Bikini Atoll, Marshall Islands",db6aa2fd-87ae-47d7-b284-9f00571de9fe,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Bikini Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Maloelap Atoll, Marshall Islands",34cd8707-e84d-40a6-82bc-75c1dbf8aa28,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Maloelap Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Rongelap Atoll, Marshall Islands",c0ade5d0-7b28-47bb-bae5-6fb44d599eb3,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Rongelap Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Kili Atoll, Marshall Islands",c77d8bb7-e1d3-4b68-9db4-de6594dafd6f,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Kili Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Enewetak Atoll, Marshall Islands",c6007fb8-2cf5-47cf-9e3a-d93fe1673418,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Enewetak Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Wotje Atoll, Marshall Islands",3e02c926-84ec-47be-a8a0-f5df0f404a28,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Wotje Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Mili Atoll, Marshall Islands",0e80523c-2ab2-4ca2-acb3-7bc531cd2300,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Mili Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Huvalu Conservation Area, Niue",9c27c275-f71b-482d-8ff0-ec579b85e653,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Huvalu Conservation Area, Niue"
"Global Register of Introduced and Invasive Species - Jaluit Atoll, Marshall Islands",8fe26f02-4260-4219-8b2b-44c66afd681b,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Jaluit Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Arno Atoll, Marshall Islands",72b33757-b2f9-477d-8a52-6a91a4656215,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Arno Atoll, Marshall Islands"
Global Register of Introduced and Invasive Species - Tuvalu,d6921013-1279-4b9e-8ea6-2d7f3b68e7c0,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Tuvalu
"Global Register of Introduced and Invasive Species - Kwajalein Atoll, Marshall Islands",9f0bf15f-4f76-4c82-93d6-cd85e77c3f01,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Kwajalein Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Majuro Atoll, Marshall Islands",73eec6b3-3b63-40a8-a7ed-978fb2a648c6,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Majuro Atoll, Marshall Islands"
"Global Register of Introduced and Invasive Species - Vava'u group, Tonga",68611f8b-9f9c-4d1d-a15a-be000691dd45,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Vava'u group, Tonga"
"Global Register of Introduced and Invasive Species - Ha'apai group, Tonga",849c64f3-ed8e-44c2-b45f-952f6c013c02,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Ha'apai group, Tonga"
"Global Register of Introduced and Invasive Species - Tongatapu Island, Tonga",edda45c9-c2d6-40ea-821b-307d3f25c85d,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Tongatapu Island, Tonga"
Global Register of Introduced and Invasive Species - Tonga,02245864-1814-4c93-a38b-0b72c1c96edc,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Tonga
Global Register of Introduced and Invasive Species - Niue,7a636a97-aab5-48b1-82fd-55ee4d94ad53,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Niue
"Global Register of Introduced and Invasive Species - Ujae Atoll, Marshall Islands",11d0c404-1d1c-4a80-93a4-73d41b9b6286,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Ujae Atoll, Marshall Islands"
Global Register of Introduced and Invasive Species – Falkland Islands (Islas Malvinas),8ed237a6-0b9f-4522-88d1-1dbae4b75336,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Falkland Islands (Islas Malvinas)
Global Register of Introduced and Invasive Species – Martinique,eb69f51d-f69e-4a11-abad-fb4642698bec,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Martinique
Global Register of Introduced and Invasive Species – Guadeloupe,0d245352-1c26-4f7c-b3ff-3f6ecc4a57c3,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Guadeloupe
Global Register of Introduced and Invasive Species – Reunion,483aece9-a70d-4b29-acbc-2358c1595d30,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Reunion
Global Register of Introduced and Invasive Species- San Marino,c5051b17-4662-4e0c-9087-beb15a4fca5b,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,San Marino
"Global Register of Introduced and Invasive Species - Svalbard, Norway",7016eb31-d386-4eb3-80bc-0c40b8a89029,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Svalbard, Norway"
Global Register of Introduced and Invasive Species- Republic of Korea,72340f0c-a018-4c3e-8aa5-88c0ffb2386f,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Republic of Korea
Global Register of Introduced and Invasive Species- Paraguay,104438d0-40fb-44e5-bb7c-062cd3995d27,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Paraguay
Global Register of Introduced and Invasive Species- Nicaragua,653f4397-63a3-47ec-bcfd-46d5f6379818,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Nicaragua
Global Register of Introduced and Invasive Species- Sao Tome and Principe,0196d958-c097-4cf4-a39a-00b3bbd5d486,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Sao Tome and Principe
Global Register of Introduced and Invasive Species - Papua New Guinea,f150e77b-824f-4f14-b994-75fbd3d5f150,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Papua New Guinea
Global Register of Introduced and Invasive Species- Indonesia,61fb216d-1216-4287-8b78-fdfef45e8e18,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Indonesia
Global Register of Introduced and Invasive Species- Japan,5c5a6e45-d510-45ed-b7bf-6d0624fac056,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Japan
"Global Register of Introduced and Invasive Species – Clipperton Island, France",761356be-38ac-4289-884d-99918afe4d9f,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Clipperton Island, France"
"Global Register of Introduced and Invasive Species - Sovereign Base Areas of Cyprus, Cyprus",497fa25f-6a32-4a2a-8f42-d01d8a0b7c22,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Sovereign Base Areas of Cyprus, Cyprus"
"Global Register of Introduced and Invasive Species – British Antarctic Territory, Antarctica",b803c027-cf94-4bf0-bc17-b67076cd5b55,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"British Antarctic Territory, Antarctica"
"Global Register of Introduced and Invasive Species – Virgin Islands, British",8bc70ed7-ccf6-4c98-9feb-5cb5a8362520,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,"Virgin Islands, British"
Global Register of Introduced and Invasive Species – Saint Pierre and Miquelon,454c926c-d7dc-43e1-ba66-87990b1cefe1,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Saint Pierre and Miquelon
Global Register of Introduced and Invasive Species - Greenland,0046fb5b-505f-49f4-87f7-6069b0fe31d4,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Greenland
Global Register of Introduced and Invasive Species – Turks and Caicos Islands,42a0b82e-4ab4-48ae-85b9-887bd733b872,CHECKLIST,GBIF Secretariat,fbca90e3-8aed-48b1-84e3-369afbd000ce,Invasive Species Specialist Group ISSG,cdef28b1-db4e-4c58-aa71-3c5238c2d0b5,IT,Turks and Caicos Islands
