"Species","matched_name2","score","data_source_title"
"Zanthoxylum rhoifolium","Zanthoxylum rhoifolium",0.988,"The International Plant Names Index"
"Hibiscus elatus","Hibiscus elatus",0.988,"Tropicos - Missouri Botanical Garden"
"Quercus xalapensis","Quercus xalapensis",0.988,"The International Plant Names Index"
"Pinus chiapensis","Pinus chiapensis",0.988,"Tropicos - Missouri Botanical Garden"
"Avicennia marina","Avicennia marina",NA,NA
"Sorbus torminalis","Sorbus torminalis",0.988,"Tropicos - Missouri Botanical Garden"
"Sorbus aucuparia","Sorbus aucuparia",0.988,"Tropicos - Missouri Botanical Garden"
"Carpinus","Carpinus",0.75,"The International Plant Names Index"
"Acer campestre","Acer campestre",0.988,"Tropicos - Missouri Botanical Garden"
"Diphysa americana","Diphysa americana",0.988,"Tropicos - Missouri Botanical Garden"
"Larix decidua","Larix decidua",0.988,"The International Plant Names Index"
"Atriplex canescens","Atriplex canescens",0.988,"Tropicos - Missouri Botanical Garden"
"Bauhinia variegata","Bauhinia variegata",NA,NA
"Artocarpus blancoi","Artocarpus blancoi",NA,NA
"Buchanania arborescens","Buchanania arborescens",NA,NA
"Buchanania nitida","Buchanania nitida",0.988,"Tropicos - Missouri Botanical Garden"
"Alstonia scholaris","Alstonia scholaris",NA,NA
"Artocarpus anisophyllus","Artocarpus anisophyllus",NA,NA
"Sandoricum vidalii","Sandoricum vidalii",NA,NA
"Tristaniopsis decorticata","Tristaniopsis decorticata",NA,NA
"Acacia mangium","Acacia mangium",0.988,"The International Plant Names Index"
"Artocarpus heterophyllus","Artocarpus heterophyllus",0.75,"Tropicos - Missouri Botanical Garden"
"Alangium javanicum","Alangium javanicum",0.988,"Tropicos - Missouri Botanical Garden"
"Litsea glutinosa","Litsea glutinosa",0.988,"Tropicos - Missouri Botanical Garden"
"Myristica philippinensis","Myristica philippinensis",0.988,"The International Plant Names Index"
"Swietenia","Swietenia",0.75,"Tropicos - Missouri Botanical Garden"
"Mitrephora lanotan","Mitrephora lanotan",0.988,"Tropicos - Missouri Botanical Garden"
"Palaquium luzoniense","Palaquium luzoniense",0.988,"Tropicos - Missouri Botanical Garden"
"Dysoxylum cumingianum","Dysoxylum cumingianum",0.988,"Tropicos - Missouri Botanical Garden"
"Neonauclea formicaria","Neonauclea formicaria",0.988,"Tropicos - Missouri Botanical Garden"
"Kokoona ochracea","Kokoona ochracea",0.988,"Tropicos - Missouri Botanical Garden"
"Dipterocarpus grandiflorus","Dipterocarpus grandiflorus",0.988,"Tropicos - Missouri Botanical Garden"
"Sapium luzonicum","Sapium luzonicum",0.988,"Tropicos - Missouri Botanical Garden"
"Calophyllum blancoi","Calophyllum blancoi",NA,NA
"Terminalia calamansanai","Terminalia calamansanai",0.988,"The International Plant Names Index"
"Toona calantas","Toona calantas",0.988,"The International Plant Names Index"
"Goniocheton arborescens","Goniocheton arborescens",0.988,"Tropicos - Missouri Botanical Garden"
"Tritaxis malayana","Tritaxis malayana",0.988,"Tropicos - Missouri Botanical Garden"
"Syzygium antisepticum","Syzygium antisepticum",0.988,"Tropicos - Missouri Botanical Garden"
"Pometia pinnata","Pometia pinnata",0.988,"Tropicos - Missouri Botanical Garden"
"Atuna racemosa","Atuna racemosa",0.988,"The International Plant Names Index"
"Beilschmiedia glomerata","Beilschmiedia glomerata",0.75,"Tropicos - Missouri Botanical Garden"
"Nephelium rambutan","Nephelium rambutan",0.988,"Tropicos - Missouri Botanical Garden"
"Pangium edule","Pangium edule",0.988,"Tropicos - Missouri Botanical Garden"
"Dehaasia triandra","Dehaasia triandra",0.988,"Tropicos - Missouri Botanical Garden"
"Swintonia foxworthyi","Swintonia foxworthyi",0.988,"Tropicos - Missouri Botanical Garden"
"Syzygium nervosum","Syzygium nervosum",0.988,"Tropicos - Missouri Botanical Garden"
"Terminalia nitens","Terminalia nitens",NA,NA
"Dimorphocalyx luzoniensis","Dimorphocalyx luzoniensis",0.988,"Tropicos - Missouri Botanical Garden"
"Butea monosperma","Butea monosperma",0.988,"Tropicos - Missouri Botanical Garden"
"Azadirachta indica","Azadirachta indica",0.988,"Tropicos - Missouri Botanical Garden"
"Acacia auriculiformis","Acacia auriculiformis",0.988,"The International Plant Names Index"
"Eucalyptus","Eucalyptus",0.75,"The International Plant Names Index"
"Inga edulis","Inga edulis",0.988,"The International Plant Names Index"
"Ternstroemia sylvatica","Ternstroemia sylvatica",0.75,"Tropicos - Missouri Botanical Garden"
"Vernonia patens","Vernonia patens",0.988,"Tropicos - Missouri Botanical Garden"
"Intsia bijuga","Intsia bijuga",0.988,"Tropicos - Missouri Botanical Garden"
"Bursera copallifera","Bursera copallifera",0.988,"Tropicos - Missouri Botanical Garden"
"Cochlospermum vitifolium","Cochlospermum vitifolium",0.988,"Tropicos - Missouri Botanical Garden"
"Haematoxylum campechianum","Haematoxylum campechianum",0.75,"Tropicos - Missouri Botanical Garden"
"Enterolobium cyclocarpum","Enterolobium cyclocarpum",0.75,"Tropicos - Missouri Botanical Garden"
"Ulmus mexicana","Ulmus mexicana",0.988,"Tropicos - Missouri Botanical Garden"
"Quercus rugosa","Quercus rugosa",0.999,"Tropicos - Missouri Botanical Garden"
"Conostegia xalapensis","Conostegia xalapensis",0.75,"Tropicos - Missouri Botanical Garden"
"Leucaena leucocephala","Leucaena leucocephala",0.988,"The International Plant Names Index"
"Chrysophyllum cainito","Chrysophyllum cainito",0.75,"Tropicos - Missouri Botanical Garden"
"Pinus oocarpa","Pinus oocarpa",0.988,"The International Plant Names Index"
"Byrsonima crassifolia","Byrsonima crassifolia",0.75,"Tropicos - Missouri Botanical Garden"
"Acacia caven","Acacia caven",0.988,"Tropicos - Missouri Botanical Garden"
"Dalbergia calderonii","Dalbergia calderonii",0.988,"Tropicos - Missouri Botanical Garden"
"Platymisciun dimhorphan","Platymisciun dimhorphan",NA,NA
"Sapindus saponaria","Sapindus saponaria",0.988,"Tropicos - Missouri Botanical Garden"
"Psidium sartorianum","Psidium sartorianum",0.988,"The International Plant Names Index"
"Trichilia trifolia","Trichilia trifolia",0.988,"Tropicos - Missouri Botanical Garden"
"Crescentia cujete","Crescentia cujete",0.988,"Tropicos - Missouri Botanical Garden"
"Guazuma ulmifolia","Guazuma ulmifolia",0.988,"The International Plant Names Index"
"Erythrina coralloides","Erythrina coralloides",0.988,"Tropicos - Missouri Botanical Garden"
"Ficus petiolaris","Ficus petiolaris",0.988,"The International Plant Names Index"
"Lonchocarpus rugosus","Lonchocarpus rugosus",0.988,"The International Plant Names Index"
"Ceiba pentandra","Ceiba pentandra",0.988,"The International Plant Names Index"
"Perymenium grande","Perymenium grande",0.988,"The International Plant Names Index"
"Cojoba arborea","Cojoba arborea",0.988,"Tropicos - Missouri Botanical Garden"
"Cochlolospermun vitifolium","Cochlolospermun vitifolium",NA,NA
"Guatemala","Guatemala",0.75,"The International Plant Names Index"
"Malpighia glabra","Malpighia glabra",0.75,"Tropicos - Missouri Botanical Garden"
"Leucaena esculenta","Leucaena esculenta",0.988,"The International Plant Names Index"
"Prunus salicifolia","Prunus salicifolia",0.988,"The International Plant Names Index"
"Psidium guajava","Psidium guajava",0.988,"Tropicos - Missouri Botanical Garden"
"Cupressus lusitanica lindleyi","Cupressus lusitanica lindleyi",0.999,"Tropicos - Missouri Botanical Garden"
"Citrus aurantiifolia","Citrus aurantiifolia",0.988,"Tropicos - Missouri Botanical Garden"
"Pseudosmodingium multifolium","Pseudosmodingium multifolium",0.988,"Tropicos - Missouri Botanical Garden"
"Ternstroemia luquillensis","Ternstroemia luquillensis",0.988,"Tropicos - Missouri Botanical Garden"
"Verbesina myriocephala","Verbesina myriocephala",0.75,"Tropicos - Missouri Botanical Garden"
"Platanus mexicana","Platanus mexicana",0.988,"Tropicos - Missouri Botanical Garden"
"Mangifera indica","Mangifera indica",0.988,"Tropicos - Missouri Botanical Garden"
"Acacia collinsii","Acacia collinsii",0.988,"Tropicos - Missouri Botanical Garden"
"Manga","Manga",0.75,"The International Plant Names Index"
"Annonaceae","Annonaceae",NA,NA
"Guayaba","Guayaba",0.75,"Tropicos - Missouri Botanical Garden"
"Citrus sinensis","Citrus sinensis",0.75,"Tropicos - Missouri Botanical Garden"
"Quercus skinneri","Quercus skinneri",NA,NA
"Ochroma pyramidale","Ochroma pyramidale",0.988,"The International Plant Names Index"
"Platanos","Platanos",0.5,"The International Plant Names Index"
"Nispero","Nispero",0.75,"Tropicos - Missouri Botanical Garden"
"Brosimum alicastrum","Brosimum alicastrum",0.988,"Tropicos - Missouri Botanical Garden"
"Astronium graveolens","Astronium graveolens",0.988,"The International Plant Names Index"
"Ulmus","Ulmus",0.75,"The International Plant Names Index"
"Ficus aurea","Ficus aurea",0.988,"The International Plant Names Index"
"Tabebuia rosea","Tabebuia rosea",0.988,"Tropicos - Missouri Botanical Garden"
"Inga jinicuil","Inga jinicuil",0.988,"Tropicos - Missouri Botanical Garden"
"Calycophyllum candidissimum","Calycophyllum candidissimum",0.75,"Tropicos - Missouri Botanical Garden"
"Annona macroprophyllata","Annona macroprophyllata",0.988,"Tropicos - Missouri Botanical Garden"
"Sideroxylon capiri","Sideroxylon capiri",NA,NA
"Quercus candicans","Quercus candicans",0.988,"The International Plant Names Index"
"Beilschmiedia riparia","Beilschmiedia riparia",0.75,"Tropicos - Missouri Botanical Garden"
"Platymiscium dimorphandrum","Platymiscium dimorphandrum",0.75,"Tropicos - Missouri Botanical Garden"
"Andira inermis","Andira inermis",0.75,"Tropicos - Missouri Botanical Garden"
"Ternstroemia lineata","Ternstroemia lineata",0.75,"Tropicos - Missouri Botanical Garden"
"Diospyros digyna","Diospyros digyna",0.75,"Tropicos - Missouri Botanical Garden"
"Styrax argenteus","Styrax argenteus",0.75,"Tropicos - Missouri Botanical Garden"
"Eriobotrya japonica","Eriobotrya japonica",0.75,"Tropicos - Missouri Botanical Garden"
"Coccoloba acapulcensis","Coccoloba acapulcensis",0.988,"Tropicos - Missouri Botanical Garden"
"Chiranthodendron pentadactylon","Chiranthodendron pentadactylon",0.988,"Tropicos - Missouri Botanical Garden"
"Tabebuia donnell-smithii","Tabebuia donnell-smithii",0.988,"Tropicos - Missouri Botanical Garden"
"Muntingia calabura","Muntingia calabura",0.988,"The International Plant Names Index"
"Manilkara zapota","Manilkara zapota",0.988,"Tropicos - Missouri Botanical Garden"
"Litsea glaucescens","Litsea glaucescens",0.75,"Tropicos - Missouri Botanical Garden"
"Bauhinia","Bauhinia",NA,NA
"Uapaca kirkiana","Uapaca kirkiana",0.75,"Tropicos - Missouri Botanical Garden"
"Ficus","Ficus",NA,NA
"Faidherbia albida","Faidherbia albida",0.988,"Tropicos - Missouri Botanical Garden"
"Semecarpus cuneiformis","Semecarpus cuneiformis",NA,NA
"Homalanthus populneus","Homalanthus populneus",0.988,"Tropicos - Missouri Botanical Garden"
"Carallia borneensis","Carallia borneensis",0.988,"Tropicos - Missouri Botanical Garden"
"Pterospermum diversifolium","Pterospermum diversifolium",NA,NA
"Garcinia forbesii","Garcinia forbesii",0.988,"Tropicos - Missouri Botanical Garden"
"Cratoxylum sumatranum","Cratoxylum sumatranum",0.988,"Tropicos - Missouri Botanical Garden"
"Syzygium costulatum","Syzygium costulatum",0.988,"Tropicos - Missouri Botanical Garden"
"Canarium luzonicum","Canarium luzonicum",0.988,"Tropicos - Missouri Botanical Garden"
"Barringtonia asiatica","Barringtonia asiatica",0.988,"Tropicos - Missouri Botanical Garden"
"Ficus nota","Ficus nota",0.988,"Tropicos - Missouri Botanical Garden"
"Macaranga grandifolia","Macaranga grandifolia",0.988,"Tropicos - Missouri Botanical Garden"
"Nephelium lappaceum","Nephelium lappaceum",0.988,"Tropicos - Missouri Botanical Garden"
"Polyscias nodosa","Polyscias nodosa",0.988,"Tropicos - Missouri Botanical Garden"
"Pterocymbium tinctorium","Pterocymbium tinctorium",0.988,"Tropicos - Missouri Botanical Garden"
"Parkia timoriana","Parkia timoriana",0.988,"Tropicos - Missouri Botanical Garden"
"Syzygium xanthophyllum","Syzygium xanthophyllum",0.988,"Tropicos - Missouri Botanical Garden"
"Lagerstroemia speciosa","Lagerstroemia speciosa",0.988,"Tropicos - Missouri Botanical Garden"
"Vitex","Vitex",NA,NA
"Acacia polyacantha","Acacia polyacantha",0.75,"Tropicos - Missouri Botanical Garden"
"Koordersiodendron pinnatum","Koordersiodendron pinnatum",0.988,"The International Plant Names Index"
"Diospyros pyrrhocarpa","Diospyros pyrrhocarpa",0.988,"Tropicos - Missouri Botanical Garden"
"Artocarpus ovatus","Artocarpus ovatus",0.988,"Tropicos - Missouri Botanical Garden"
"Omalanthus fastuosus","Omalanthus fastuosus",0.988,"Tropicos - Missouri Botanical Garden"
"Dysoxylum gaudichaudianum","Dysoxylum gaudichaudianum",0.988,"Tropicos - Missouri Botanical Garden"
"Gomphandra luzoniensis","Gomphandra luzoniensis",0.988,"Tropicos - Missouri Botanical Garden"
"Azadirachta excelsa","Azadirachta excelsa",0.988,"Tropicos - Missouri Botanical Garden"
"Brachystegia","Brachystegia",0.5,"Tropicos - Missouri Botanical Garden"
"Croton urucurana","Croton urucurana",0.988,"Tropicos - Missouri Botanical Garden"
"Saurauia serrata","Saurauia serrata",0.988,"Tropicos - Missouri Botanical Garden"
"Fouquieria splendens","Fouquieria splendens",0.988,"The International Plant Names Index"
"Schinopsis balansae","Schinopsis balansae",0.988,"The International Plant Names Index"
"Persea schiedeana","Persea schiedeana",0.988,"Tropicos - Missouri Botanical Garden"
"Euphorbia macvaughii","Euphorbia macvaughii",0.988,"Tropicos - Missouri Botanical Garden"
"Callistemon citrinus","Callistemon citrinus",0.988,"The International Plant Names Index"
"Trophis racemosa","Trophis racemosa",0.75,"Tropicos - Missouri Botanical Garden"
"Homalium trichostemon","Homalium trichostemon",0.988,"Tropicos - Missouri Botanical Garden"
"Nectandra leucantha","Nectandra leucantha",0.988,"The International Plant Names Index"
"Thouinidium decandrum","Thouinidium decandrum",0.988,"Tropicos - Missouri Botanical Garden"
"Juniperus squamata","Juniperus squamata",0.988,"The International Plant Names Index"
"Ficus benjamina","Ficus benjamina",0.988,"The International Plant Names Index"
"Gynostemma pentaphyllum","Gynostemma pentaphyllum",0.988,"The International Plant Names Index"
"Syzygium jambos","Syzygium jambos",0.988,"Tropicos - Missouri Botanical Garden"
"Dorstenia brasiliensis","Dorstenia brasiliensis",0.988,"The International Plant Names Index"
"Brosimum","Brosimum",0.75,"Tropicos - Missouri Botanical Garden"
"Ficus insipida","Ficus insipida",0.988,"The International Plant Names Index"
"Rhodamnia rubescens","Rhodamnia rubescens",0.988,"Tropicos - Missouri Botanical Garden"
"Hevea brasiliensis","Hevea brasiliensis",0.988,"The International Plant Names Index"
"Pseudobombax ellipticum","Pseudobombax ellipticum",0.988,"The International Plant Names Index"
"Haematoxylum brasiletto","Haematoxylum brasiletto",0.988,"Tropicos - Missouri Botanical Garden"
"Genipa americana","Genipa americana",0.988,"The International Plant Names Index"
"Nectandra lineata","Nectandra lineata",0.988,"Tropicos - Missouri Botanical Garden"
"Theobroma bicolor","Theobroma bicolor",0.988,"Tropicos - Missouri Botanical Garden"
"Inga","Inga",0.75,"Tropicos - Missouri Botanical Garden"
"Amphipterygium adstringens","Amphipterygium adstringens",0.988,"The International Plant Names Index"
"Citrus reticulata","Citrus reticulata",0.988,"Tropicos - Missouri Botanical Garden"
"Aquilaria sinensis","Aquilaria sinensis",0.988,"Tropicos - Missouri Botanical Garden"
"Quercus subspathulata","Quercus subspathulata",0.988,"Tropicos - Missouri Botanical Garden"
"Quercus devia","Quercus devia",0.988,"Tropicos - Missouri Botanical Garden"
"Sebastiania brasiliensis","Sebastiania brasiliensis",0.988,"The International Plant Names Index"
"Hamelia patens","Hamelia patens",0.988,"The International Plant Names Index"
"Trema micrantha","Trema micrantha",0.988,"Tropicos - Missouri Botanical Garden"
"Nectandra","Nectandra",0.75,"Tropicos - Missouri Botanical Garden"
"Fouquieria ochoterenae","Fouquieria ochoterenae",0.988,"Tropicos - Missouri Botanical Garden"
"Hymenaea courbaril","Hymenaea courbaril",0.988,"The International Plant Names Index"
"Annona muricata","Annona muricata",0.988,"The International Plant Names Index"
"Ficus carica","Ficus carica",0.988,"The International Plant Names Index"
"Cedrus","Cedrus",0.75,"Tropicos - Missouri Botanical Garden"
"Prunus domestica","Prunus domestica",0.988,"The International Plant Names Index"
"Annona cherimola","Annona cherimola",0.988,"Tropicos - Missouri Botanical Garden"
"Persea mutisii","Persea mutisii",0.988,"Tropicos - Missouri Botanical Garden"
"Acacia cochliacantha","Acacia cochliacantha",0.988,"The International Plant Names Index"
"Acacia farnesiana","Acacia farnesiana",0.988,"The International Plant Names Index"
"Pterocarpus","Pterocarpus",0.75,"Tropicos - Missouri Botanical Garden"
"Heliocarpus donnellsmithii","Heliocarpus donnellsmithii",0.988,"Tropicos - Missouri Botanical Garden"
"Vachellia collinsii","Vachellia collinsii",0.988,"Tropicos - Missouri Botanical Garden"
"Zanthoxylum riedelianum","Zanthoxylum riedelianum",0.988,"Tropicos - Missouri Botanical Garden"
"Spondias purpurea","Spondias purpurea",0.988,"The International Plant Names Index"
"Sterculia comosa","Sterculia comosa",0.988,"The International Plant Names Index"
"Mangifera altissima","Mangifera altissima",0.988,"Tropicos - Missouri Botanical Garden"
"Barringtonia macrostachya","Barringtonia macrostachya",0.988,"Tropicos - Missouri Botanical Garden"
"Aglaia rimosa","Aglaia rimosa",0.988,"Tropicos - Missouri Botanical Garden"
"Mallotus philippensis","Mallotus philippensis",0.988,"Tropicos - Missouri Botanical Garden"
"Macaranga tanarius","Macaranga tanarius",0.988,"The International Plant Names Index"
"Ficus minahassae","Ficus minahassae",0.988,"Tropicos - Missouri Botanical Garden"
"Myristica fatua","Myristica fatua",0.988,"Tropicos - Missouri Botanical Garden"
"Cinnamomum","Cinnamomum",0.75,"Tropicos - Missouri Botanical Garden"
"Canthium dicoccum","Canthium dicoccum",0.75,"Tropicos - Missouri Botanical Garden"
"Canarium asperum","Canarium asperum",0.988,"Tropicos - Missouri Botanical Garden"
"Ficus variegata","Ficus variegata",0.988,"The International Plant Names Index"
"Gnetum gnemon","Gnetum gnemon",0.999,"Tropicos - Missouri Botanical Garden"
"Alstonia macrophylla","Alstonia macrophylla",0.988,"Tropicos - Missouri Botanical Garden"
"Syzygium curranii","Syzygium curranii",0.988,"Tropicos - Missouri Botanical Garden"
"Eugenia rhombea","Eugenia rhombea",NA,"Manual validation"
"Palaquium tenuipetiolatum","Palaquium tenuipetiolatum",0.988,"Tropicos - Missouri Botanical Garden"
"Pouteria villamilii","Pouteria villamilii",0.988,"Tropicos - Missouri Botanical Garden"
"Anacardium occidentale","Anacardium occidentale",0.988,"The International Plant Names Index"
"Sandoricum koetjape","Sandoricum koetjape",0.988,"Tropicos - Missouri Botanical Garden"
"Melanolepis multiglandulosa","Melanolepis multiglandulosa",0.988,"Tropicos - Missouri Botanical Garden"
"Cryptocarya acuminata","Cryptocarya acuminata",0.988,"Tropicos - Missouri Botanical Garden"
"Nauclea orientalis","Nauclea orientalis",0.988,"Tropicos - Missouri Botanical Garden"
"Eugenia jambolana","Eugenia jambolana",0.75,"Tropicos - Missouri Botanical Garden"
"Cassia siamea","Cassia siamea",0.988,"Tropicos - Missouri Botanical Garden"
"Cassia floribunda","Cassia floribunda",0.988,"The International Plant Names Index"
"Millettia laurentii","Millettia laurentii",0.75,"Tropicos - Missouri Botanical Garden"
"Piptadeniastrum africanum","Piptadeniastrum africanum",0.75,"Tropicos - Missouri Botanical Garden"
"Maesopsis","Maesopsis",0.75,"Tropicos - Missouri Botanical Garden"
"Pentaclethra macrophylla","Pentaclethra macrophylla",0.988,"Tropicos - Missouri Botanical Garden"
"Maesopsis eminii","Maesopsis eminii",0.988,"Tropicos - Missouri Botanical Garden"
"Ricinodendron heudelotii","Ricinodendron heudelotii",0.75,"Tropicos - Missouri Botanical Garden"
"Cassia","Cassia",0.75,"Tropicos - Missouri Botanical Garden"
"Pericopsis elata","Pericopsis elata",0.75,"Tropicos - Missouri Botanical Garden"
"Canarium","Canarium",NA,"Manual validation"
"Ricinodendron africanum","Ricinodendron africanum",0.75,"Tropicos - Missouri Botanical Garden"
"Milletia","Milletia",0.75,"The International Plant Names Index"
"Ricinodendron","Ricinodendron",0.75,"Tropicos - Missouri Botanical Garden"
"Uapaca mole","Uapaca mole",0.988,"Tropicos - Missouri Botanical Garden"
"Milicia excelsa","Milicia excelsa",0.75,"Tropicos - Missouri Botanical Garden"
"Pachira aquatica","Pachira aquatica",0.988,"The International Plant Names Index"
"Croton mubango","Croton mubango",0.75,"Tropicos - Missouri Botanical Garden"
"Canarium schweinfurtii","Canarium schweinfurtii",0.75,"Tropicos - Missouri Botanical Garden"
"Dialium pachyphyllum","Dialium pachyphyllum",0.988,"Tropicos - Missouri Botanical Garden"
"Uapaca","Uapaca",0.75,"Tropicos - Missouri Botanical Garden"
"Erythrophleum","Erythrophleum",0.75,"Tropicos - Missouri Botanical Garden"
"Pentaclethra","Pentaclethra",NA,"Manual validation"
"Dacryodes normandii","Dacryodes normandii",0.988,"Tropicos - Missouri Botanical Garden"
"Guibourtia demeusei","Guibourtia demeusei",0.988,"Tropicos - Missouri Botanical Garden"
"Pterocarpus soyauxii","Pterocarpus soyauxii",NA,"Manual validation"
"Evea brasiliensis","Evea brasiliensis",0.988,"Tropicos - Missouri Botanical Garden"
"Leucaena","Leucaena",NA,"Manual validation"
"Erythrophleum ivorense","Erythrophleum ivorense",0.75,"Tropicos - Missouri Botanical Garden"
"Prioria balsamifera","Prioria balsamifera",0.988,"Tropicos - Missouri Botanical Garden"
"Hevea","Hevea",0.75,"The International Plant Names Index"
"Adenanthera pavonina","Adenanthera pavonina",NA,"Manual validation"
"Millettia drastica","Millettia drastica",NA,"Manual validation"
"Ongokea gore","Ongokea gore",0.988,"Tropicos - Missouri Botanical Garden"
"Musanga","Musanga",0.75,"Tropicos - Missouri Botanical Garden"
"Musanga cecropioides","Musanga cecropioides",0.75,"Tropicos - Missouri Botanical Garden"
"Tetraberlinia bifoliolata","Tetraberlinia bifoliolata",0.75,"Tropicos - Missouri Botanical Garden"
"Parkia bicolor","Parkia bicolor",0.75,"Tropicos - Missouri Botanical Garden"
"Oncoba welwitschii","Oncoba welwitschii",NA,"Manual validation"
"Bobgunnia fistuloides","Bobgunnia fistuloides",0.988,"Tropicos - Missouri Botanical Garden"
"Millettia soyauxii","Millettia soyauxii",0.75,"Tropicos - Missouri Botanical Garden"
"Prioria","Prioria",0.75,"Tropicos - Missouri Botanical Garden"
"Paramacrolobium","Paramacrolobium",0.75,"Tropicos - Missouri Botanical Garden"
"Autranella congolensis","Autranella congolensis",0.988,"Tropicos - Missouri Botanical Garden"
"Celtis tessmannii","Celtis tessmannii",0.75,"Tropicos - Missouri Botanical Garden"
"Gilbertiodendron dewevrei","Gilbertiodendron dewevrei",0.75,"Tropicos - Missouri Botanical Garden"
"Leplaea cedrata","Leplaea cedrata",0.988,"Tropicos - Missouri Botanical Garden"
"Tetrapleura tetraptera","Tetrapleura tetraptera",0.988,"Tropicos - Missouri Botanical Garden"
"Hymenocardia acida","Hymenocardia acida",0.988,"Tropicos - Missouri Botanical Garden"
"Albizia adianthifolia","Albizia adianthifolia",0.75,"Tropicos - Missouri Botanical Garden"
"Baillonella toxisperma","Baillonella toxisperma",NA,"Manual validation"
"Albizia","Albizia",NA,"Manual validation"
"Senna siamea","Senna siamea",NA,"Manual validation"
"Acacia floribunda","Acacia floribunda",NA,"Manual validation"
"Entandrophragma cylindricum","Entandrophragma cylindricum",0.75,"Tropicos - Missouri Botanical Garden"
"Prioria oxyphylla","Prioria oxyphylla",0.988,"Tropicos - Missouri Botanical Garden"
"Evea","Evea",0.75,"Tropicos - Missouri Botanical Garden"
"Guibourtia","Guibourtia",0.75,"Tropicos - Missouri Botanical Garden"
"Dialium","Dialium",0.75,"The International Plant Names Index"
"Bobgunnia","Bobgunnia",NA,"Manual validation"
"Gilbertiodendron","Gilbertiodendron",0.75,"Tropicos - Missouri Botanical Garden"
"Pycnanthus angolensis","Pycnanthus angolensis",0.988,"Tropicos - Missouri Botanical Garden"
"Ficus tiliifolia","Ficus tiliifolia",0.75,"Tropicos - Missouri Botanical Garden"
"Eucalyptus robusta","Eucalyptus robusta",0.988,"The International Plant Names Index"
"Brachylaena perrieri","Brachylaena perrieri",0.988,"Tropicos - Missouri Botanical Garden"
"Trema orientalis","Trema orientalis",0.988,"Tropicos - Missouri Botanical Garden"
"Albizia gummifera","Albizia gummifera",0.75,"Tropicos - Missouri Botanical Garden"
"Dracaena reflexa","Dracaena reflexa",0.988,"The International Plant Names Index"
"Tambourissa madagascariensis","Tambourissa madagascariensis",0.988,"Tropicos - Missouri Botanical Garden"
"Macaranga obovata","Macaranga obovata",0.988,"Tropicos - Missouri Botanical Garden"
"Erythroxylum sphaeranthum","Erythroxylum sphaeranthum",0.75,"Tropicos - Missouri Botanical Garden"
"Eugenia hirta","Eugenia hirta",0.988,"Tropicos - Missouri Botanical Garden"
"Psidium guayava","Psidium guayava",0.75,"Tropicos - Missouri Botanical Garden"
"Eugenia","Eugenia",0.75,"Tropicos - Missouri Botanical Garden"
"Grevillea banksii","Grevillea banksii",0.988,"The International Plant Names Index"
"Weinmannia","Weinmannia",NA,"Manual validation"
