"Plot_ID","Site_ID","SiteType","Country","Organization_Name","Plot_Permanence","Monitoring_Plot_Size","Strata","Timeframe","Date","Resample_Main_Plot","Resample_3x3_Subplot","Note","Note1","Diagram","Start_Time","SiteSize","TreesPresent","Resampling","Restoration_Technique","SEPhoto","NEPhoto","NWPhoto","SWPhoto","main_index","_id","Original_Notes","_3x3_Subplot_Description","Notes_002","Notes","End_Time","instanceID","rootUuid","deprecatedID","uuid","__version__","_xform_id_string","_uuid","_status","_submission_time","_validation_status","_submitted_by","Plot_ID_001","Plot_Permanence_001","Strata_001","TreesPresent_001","Restoration_Technique_001","SEPhoto_001","NEPhoto_001","NWPhoto_001","SWPhoto_001","Notes_001","_3x3_Subplot_Photo","TreesPresent_3x3_Subplot","Resampling_001"
"P5 - ENR - 180","P5 - ENR - 180","Restoration","Brazil","GANB","Permanent","30x30","Enriquecimento","Y0",2023-07-14,"0","0",NA,NA,NA,"15:56:00.000-03:00","Yes","Yes",NA,"4x3","1689361239177.jpg","1689361558622.jpg","1689362261131.jpg","1689362690413.jpg",11,253044227,NA,NA,NA,NA,"16:41:00.000-03:00","uuid:5f80e3fd-f76b-42d3-843e-e38f278d421e",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","5f80e3fd-f76b-42d3-843e-e38f278d421e","submitted_via_web",2023-07-15 12:08:22,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689363048848.jpg",NA,NA
"P5 - RN - 180","P5 - RN - 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y0",2023-07-14,"0","1",NA,NA,NA,"11:22:00.000-03:00","Yes","Yes",NA,"Não haverá plantio de mudas","1689344643453.jpg","1689345309299.jpg","1689345544674.jpg","1689346267014.jpg",12,253053788,NA,"Alocada no canto do vértice 1",NA,NA,"11:58:00.000-03:00","uuid:9afe8428-c25a-4adb-a7b8-93b1fdabd9f3",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","9afe8428-c25a-4adb-a7b8-93b1fdabd9f3","submitted_via_web",2023-07-15 12:58:07,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689346588739.jpg",NA,NA
"PControle - ENR","PControle -ENR","Control","Brazil","GANB","Permanent","30x30","Enriquecimento - Pouca declividade no canto do vértice 4","Y0",2023-07-14,"0","0",NA,NA,NA,"14:33:00.000-03:00","Yes","Yes",NA,"3x4","1689357177641.jpg","1689357282708.jpg","1689357651474.jpg","1689358942486.jpg",13,253060000,NA,NA,NA,NA,"15:55:00.000-03:00","uuid:3ec65999-ca66-413d-a7aa-0cc04135c473","ccb4de61-ed8f-4bf2-af97-bc0f78110dbd","uuid:ccb4de61-ed8f-4bf2-af97-bc0f78110dbd","143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","3ec65999-ca66-413d-a7aa-0cc04135c473","submitted_via_web",2023-07-15 13:27:34,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P6 - ENR - 180","P6 - ENR - 180","Restoration","Brazil","GANB","Permanent","30x30","Enriquecimento","Y0",2023-07-16,"0","2",NA,NA,NA,"08:14:00.000-03:00","Yes","Yes",NA,"4x3","1689506718583.jpg","1689506305972.jpg","1689507274327.jpg","1689507151603.jpg",14,258405297,NA,"Alocada no canto do vértice 1",NA,NA,"08:48:00.000-03:00","uuid:1f8b34be-ff73-4689-8674-99ef209fccce",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","1f8b34be-ff73-4689-8674-99ef209fccce","submitted_via_web",2023-08-07 00:15:47,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689508032684.jpg","Yes",NA
"P7-ENR-180","P7-ENR-180","Restoration","Brazil","GANB","Permanent","30x30","Enriquecimento","Y0",2023-07-16,"0","1",NA,NA,NA,"11:05:00.000-03:00","Yes","Yes",NA,"4x3","1689517522198.jpg","1689517765595.jpg","1689518549592.jpg","1689519243505.jpg",15,258406103,NA,"Alocada no canto do vértice 3",NA,NA,"12:07:00.000-03:00","uuid:a9960de8-9dc5-4591-8a86-73f6f66d14e2",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","a9960de8-9dc5-4591-8a86-73f6f66d14e2","submitted_via_web",2023-08-07 00:32:53,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1689519932545.jpg",NA,NA
"P10-ENR 180","P10- ENR 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y0",2023-08-06,"0","0",NA,NA,NA,"15:12:00.000-03:00","Yes","Yes",NA,"4x3","1691346441638.jpg","1691346519657.jpg","1691346698146.jpg","1691347037249.jpg",16,258579167,NA,"Alocada no canto do vértice 4",NA,NA,"16:08:00.000-03:00","uuid:662d9f62-1c60-4b1d-b8a1-1e7521dc0b37",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","662d9f62-1c60-4b1d-b8a1-1e7521dc0b37","submitted_via_web",2023-08-07 14:35:57,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1691347522106.jpg",NA,NA
"P10- RN 180","P10- RN 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y0",2023-08-06,"0","0",NA,NA,NA,"13:43:00.000-03:00","Yes","Yes",NA,"Não haverá plantio de mudas","1691340384753.jpg","1691340605251.jpg","1691341038212.jpg","1691341618915.jpg",17,262898827,NA,"Alocada no canto do vértice 4",NA,NA,"14:21:00.000-03:00","uuid:a10cd5b1-3343-496a-b792-c7a0191cb339",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","a10cd5b1-3343-496a-b792-c7a0191cb339","submitted_via_web",2023-08-23 02:31:44,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1691342269249.jpg",NA,NA
"P7- RN 180","P7- RN 180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y0",2023-08-06,"0","0",NA,NA,NA,"09:03:00.000-03:00","Yes","Yes",NA,"4x3","1691324709154.jpg","1691324796304.jpg","1691325262925.jpg","1691326345089.jpg",18,265437851,NA,"Alocada no canto do vértice 4",NA,NA,"10:48:00.000-03:00","uuid:16648cfe-7247-4e30-bf7d-44e306083e38",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","16648cfe-7247-4e30-bf7d-44e306083e38","submitted_via_web",2023-09-01 02:13:22,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1691326626502.jpg",NA,NA
"P8-ENR-180","P8-ENR-180","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y0",2023-07-16,"0","0",NA,NA,NA,"16:29:00.000-03:00","Yes","Yes",NA,"4x3","1691319530814.jpg","1691319617994.jpg","1691319727597.jpg","1691319901578.jpg",19,265438221,NA,"Alocada no canto do vértice 4",NA,NA,"08:25:00.000-03:00","uuid:edea7d77-753f-4640-a605-e6bdafba95a4",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","edea7d77-753f-4640-a605-e6bdafba95a4","submitted_via_web",2023-09-01 02:19:12,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1691320151652.jpg",NA,NA
"P8RN - 165ha","P8 RN - 165","Restoration","Brazil","GANB","Permanent","30x30","Condução por regeneração","Y2.5",2023-06-17,"0","1",NA,NA,NA,"14:20:00.000-03:00","Yes","Yes",NA,"Não houve plantio","1687026139805.jpg","1687026296996.jpg","1687026849666.jpg","1687027534142.jpg",20,266850858,"Declive acentuado","Alocada a 3m do vértice 4",NA,NA,"16:01:00.000-03:00","uuid:645e78a8-a9d5-45cf-91ef-76ad14b5dddd",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","645e78a8-a9d5-45cf-91ef-76ad14b5dddd","submitted_via_web",2023-09-07 00:50:13,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1687028267377.jpg",NA,NA
"PRN3 - 165ha","PRN3 - 165ha","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural - Plano","Y2.5",2023-09-02,"0","0",NA,NA,NA,"14:01:00.000-03:00","Yes","Yes",NA,"Não houve plantio","1693676303184.jpg","1693676455298.jpg","1693676588735.jpg","1693676711771.jpg",21,267157101,NA,"Alocada no canto do vértice 4",NA,NA,"15:26:00.000-03:00","uuid:cbf8264e-cbda-446f-bc8e-c68943c17796",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","cbf8264e-cbda-446f-bc8e-c68943c17796","submitted_via_web",2023-09-07 23:58:50,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1693676964257.jpg",NA,NA
"PRN1- 165ha","PRN1 - 165ha","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural com declividade","Y2.5",2023-09-02,"0","0",NA,NA,NA,"10:32:00.000-03:00","Yes","Yes",NA,"Não houve plantio","1693667519187.jpg","1693667694397.jpg","1693667818928.jpg","1693667892279.jpg",22,267159056,"Árvore 8 teve o DAP estimado, porque havia uma casa de marimbondo nela.","Alocada no canto do vértice 4",NA,"Pegadas de bovinos próximo a parcela!","12:33:00.000-03:00","uuid:140d804e-63ef-4567-9cd8-44eb4e3b9ef2",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","140d804e-63ef-4567-9cd8-44eb4e3b9ef2","submitted_via_web",2023-09-08 00:27:43,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1693667967174.jpg",NA,NA
"PRN4 - 165ha","PRN4 - 165ha","Restoration","Brazil","GANB","Permanent","30x30","Regeneração Natural","Y2.5",2023-05-29,"0","1",NA,NA,NA,"08:18:00.000-03:00","Yes","Yes",NA,"Não houve plantio","1685362016024.jpg","1685360206086.jpg","1685360524639.jpg","1685361603106.jpg",23,267230362,"Enriquecimento, porém n encontramos mudas plantadas",NA,NA,NA,"09:41:00.000-03:00","uuid:119463c3-2633-418a-a886-72e707ced458",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vQjYrxKHpYisFbR52W5r3o","aQbVKaTiowwZqGTaXtjhBL","119463c3-2633-418a-a886-72e707ced458","submitted_via_web",2023-09-08 09:17:15,NA,"ihillman",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1685364010998.jpg",NA,NA
"999-1","999","Restoration","Brazil","EMA","Permanent","30x30","Mixed woods/grassland","Y0",2023-10-18,"0","1",NA,NA,NA,"11:30:00.000-04:00","Yes","Yes",NA,"4 by 4 meters",NA,NA,NA,NA,24,280182291,NA,NA,NA,NA,"11:45:00.000-04:00","uuid:30dc2f41-7418-4698-8078-7eb6b13b482c",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","30dc2f41-7418-4698-8078-7eb6b13b482c","submitted_via_web",2023-10-18 15:35:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"888","Restoration","Brazil","EMA",NA,"30x15",NA,"Y0",2023-10-18,"0","2",NA,NA,NA,"16:45:00.000-04:00","No",NA,NA,NA,NA,NA,NA,NA,25,280300267,NA,NA,NA,NA,"17:00:00.000-04:00","uuid:c898fa10-fa0e-4ce4-bb8e-ab11c20c5887",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","c898fa10-fa0e-4ce4-bb8e-ab11c20c5887","submitted_via_web",2023-10-18 20:46:36,NA,NA,"888-1","Permanent","wetland adjacent","No","5 by 5",NA,NA,NA,NA,NA,NA,"No","2"
"777-1","777","Restoration","Brazil","EMA","Permanent","30x30",NA,"Y0",2023-10-19,"1","2",NA,NA,NA,"10:15:00.000-04:00","Yes","No","1","6x3",NA,NA,NA,NA,26,280526113,NA,NA,NA,"test","10:15:00.000-04:00","uuid:3cecda0c-c6fb-4d41-a83f-007399a2cfca",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","3cecda0c-c6fb-4d41-a83f-007399a2cfca","submitted_via_web",2023-10-19 14:07:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA
NA,"7777777","Control","Brazil","CICLOS",NA,"30x15",NA,"Y0",2023-12-27,"0","0",NA,NA,NA,"08:45:00.000-05:00","No",NA,NA,NA,NA,NA,NA,NA,27,299670489,NA,NA,NA,"this is a test for control sites","08:45:00.000-05:00","uuid:c00cf4e4-cb1c-4679-adcc-483d95d952de",NA,NA,"143ef6deaffd4ae2bb814b6cf64acd09","vAgXzDT3mEV6r93kWYfAj4","aQbVKaTiowwZqGTaXtjhBL","c00cf4e4-cb1c-4679-adcc-483d95d952de","submitted_via_web",2023-12-21 13:47:37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
