"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe"
"Pentaclethra macrophylla","planted",1,"<10cm planted","96","B10.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1144,382,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",8,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1145,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",5,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1146,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",2,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1147,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ontang","planted",5,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1148,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",6,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1149,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Maesopsis eminii","planted",2,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1150,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Nguba mindele","planted",4,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1151,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",1,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1152,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Assang","planted",6,"<10cm planted","96","B10.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1153,383,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",15,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1154,384,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",8,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1155,384,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Nguba","planted",13,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1156,384,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ontang","planted",2,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1157,384,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",2,"<10cm planted","96","B10.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1158,384,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",4,"<10cm planted","96","B10.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1159,385,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",2,"<10cm planted","96","B10.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1160,385,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",15,"<10cm planted","96","B10.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1161,385,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",8,"<10cm planted","96","B10.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1162,385,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",17,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1163,386,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",20,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1164,386,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milettia laurentii","planted",11,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1165,386,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ricinondendron heudoleutii","planted",2,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1166,386,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Onkok","planted",2,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1167,386,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",20,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1168,387,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",16,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1169,387,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",11,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1170,387,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",4,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1171,387,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",1,"<10cm planted","96","B10.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1172,387,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",13,"<10cm planted","96","B10.9","DRC","Faja Lobi","Restoration","Restoration","30x30",1173,388,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",1,"<10cm planted","96","B10.9","DRC","Faja Lobi","Restoration","Restoration","30x30",1174,388,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",9,"<10cm planted","96","B10.9","DRC","Faja Lobi","Restoration","Restoration","30x30",1175,388,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",4,"<10cm planted","96","B10.9","DRC","Faja Lobi","Restoration","Restoration","30x30",1176,388,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",9,"<10cm planted","96","B10.10","DRC","Faja Lobi","Restoration","Restoration","30x30",1177,389,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",6,"<10cm planted","96","B10.10","DRC","Faja Lobi","Restoration","Restoration","30x30",1178,389,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",7,"<10cm planted","96","B10.10","DRC","Faja Lobi","Restoration","Restoration","30x30",1179,389,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",2,"<10cm planted","96","B10.10","DRC","Faja Lobi","Restoration","Restoration","30x30",1180,389,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",19,"<10cm planted","96","B9.1","DRC","Faja Lobi","Restoration","Restoration","30x30",1181,390,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Afromosia","planted",16,"<10cm planted","96","B9.1","DRC","Faja Lobi","Restoration","Restoration","30x30",1182,390,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia sia mea","planted",11,"<10cm planted","96","B9.1","DRC","Faja Lobi","Restoration","Restoration","30x30",1183,390,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",7,"<10cm planted","96","B9.1","DRC","Faja Lobi","Restoration","Restoration","30x30",1184,390,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",1,"<10cm planted","96","B9.1","DRC","Faja Lobi","Restoration","Restoration","30x30",1185,390,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Assang","planted",17,"<10cm planted","96","B9.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1186,391,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",18,"<10cm planted","96","B9.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1187,391,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",9,"<10cm planted","96","B9.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1188,391,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",16,"<10cm planted","96","B9.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1189,391,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",8,"<10cm planted","96","B9.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1190,391,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Onkok","planted",4,"<10cm planted","96","B9.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1191,391,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Melletia laurentii","planted",28,"<10cm planted","96","B9.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1192,392,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",26,"<10cm planted","96","B9.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1193,392,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",23,"<10cm planted","96","B9.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1194,392,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ricondendron","planted",2,"<10cm planted","96","B9.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1195,392,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",3,"<10cm planted","96","B9.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1196,392,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",17,"<10cm planted","96","B9.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1197,393,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",21,"<10cm planted","96","B9.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1198,393,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",17,"<10cm planted","96","B9.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1199,393,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",26,"<10cm planted","96","B9.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1200,393,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Maesopsis","planted",11,"<10cm planted","96","B9.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1201,393,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ngumba mindele","planted",1,"<10cm planted","96","B9.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1202,393,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",17,"<10cm planted","96","B9.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1203,394,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",5,"<10cm planted","96","B9.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1204,394,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",6,"<10cm planted","96","B9.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1205,394,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",4,"<10cm planted","96","B9.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1206,394,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pericopsis eleta","planted",1,"<10cm planted","96","B9.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1207,394,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Assang","planted",1,"<10cm planted","96","B9.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1208,394,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Melletia laurentii","planted",30,"<10cm planted","96","B.9.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1209,395,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",9,"<10cm planted","96","B.9.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1210,395,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",13,"<10cm planted","96","B.9.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1211,395,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cannarium","planted",6,"<10cm planted","96","B.9.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1212,395,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",17,"<10cm planted","96","B9.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1213,396,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribuNda","planted",13,"<10cm planted","96","B9.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1214,396,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",11,"<10cm planted","96","B9.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1215,396,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pennyaclethra macrophylla","planted",9,"<10cm planted","96","B9.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1216,396,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Maesopsis","planted",9,"<10cm planted","96","B9.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1217,396,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ricinondendron","planted",2,"<10cm planted","96","B9.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1218,396,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Nguba mindele","planted",3,"<10cm planted","96","B9.7","DRC","Faja Lobi","Restoration","Restoration","30x30",1219,396,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",17,"<10cm planted","96","B1","DRC","Faja Lobi","Restoration","Restoration","30x30",1220,397,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Piptodeniastrum africanum","planted",15,"<10cm planted","96","B1","DRC","Faja Lobi","Restoration","Restoration","30x30",1221,397,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",12,"<10cm planted","96","B1","DRC","Faja Lobi","Restoration","Restoration","30x30",1222,397,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",3,"<10cm planted","96","B1","DRC","Faja Lobi","Restoration","Restoration","30x30",1223,397,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Safout foret","planted",1,"<10cm planted","96","B1","DRC","Faja Lobi","Restoration","Restoration","30x30",1224,397,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",13,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1225,398,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",21,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1226,398,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Piptodeniastrum africanum","planted",18,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1227,398,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ricinondendron africanum","planted",3,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1228,398,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Safout foret","planted",1,"<10cm planted","96","B10.2","DRC","Faja Lobi","Restoration","Restoration","30x30",1229,398,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Piptodeniastrum africanum","planted",14,"<10cm planted","96","B1.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1230,399,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Padouk","planted",12,"<10cm planted","96","B1.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1231,399,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",9,"<10cm planted","96","B1.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1232,399,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",7,"<10cm planted","96","B1.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1233,399,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Marsopsis eminii","planted",4,"<10cm planted","96","B1.3","DRC","Faja Lobi","Restoration","Restoration","30x30",1234,399,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ricondendron heudoletii","planted",3,"<10cm planted","96","B1.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1235,400,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",5,"<10cm planted","96","B1.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1236,400,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophyla","planted",15,"<10cm planted","96","B1.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1237,400,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia","planted",15,"<10cm planted","96","B1.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1238,400,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ngumba","planted",14,"<10cm planted","96","B1.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1239,400,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Maesopsis","planted",7,"<10cm planted","96","B1.4","DRC","Faja Lobi","Restoration","Restoration","30x30",1240,400,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",28,"<10cm planted","96","B1.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1241,401,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia floribunda","planted",5,"<10cm planted","96","B1.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1242,401,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",3,"<10cm planted","96","B1.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1243,401,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",3,"<10cm planted","96","B1.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1244,401,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ricinondendron heudoletii","planted",3,"<10cm planted","96","B1.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1245,401,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Maesopsis eminii","planted",2,"<10cm planted","96","B1.5","DRC","Faja Lobi","Restoration","Restoration","30x30",1246,401,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Pentaclethra macrophylla","planted",27,"<10cm planted","96","B1.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1247,402,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",16,"<10cm planted","96","B1.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1248,402,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Ricinondendron hrudoletii","planted",6,"<10cm planted","96","B1.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1249,402,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Maesopsis eminii","planted",4,"<10cm planted","96","B1.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1250,402,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Cassia siamea","planted",2,"<10cm planted","96","B1.6","DRC","Faja Lobi","Restoration","Restoration","30x30",1251,402,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
"Milletia laurentii","planted",12,"<10cm planted","96","B1.8","DRC","Faja Lobi","Restoration","Restoration","30x30",1252,403,"main","Normal_30x30_2",NA,"Permanent","0","0","2.5×3","Y0"
