"Species","Tree_Type","Tree_Count","size_class","Site_ID","Plot_ID","Country","Organization_Name","SiteType","Plot_Type","Plot_Size","tree_index","main_index","_parent_table_name","origin_table","destination_table","Plot_Permanence","Resample_Main_Plot","Resample_3x3_Subplot","PlantingPattern","Timeframe","submitted_species_name","name_validation","score","data_source_title"
"Inga spuria","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",62,2282,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga spuria","Resolved",0.988,"The International Plant Names Index"
"Annona squamosa","Present",7,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",63,2283,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Liquidambar styraciflua","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",64,2283,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Persea americana","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",65,2283,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Cupania dentata","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",66,2283,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Copania dentata","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",67,2284,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Annona squamosa","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",68,2284,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Persea americana","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",69,2284,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Persea caerulea","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",70,2284,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea caerulea","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Liquidambar styraciflua","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",71,2284,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Inga vera","Present",4,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",72,2285,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Inga spuria","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",73,2285,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga spuria","Resolved",0.988,"The International Plant Names Index"
"Persea americana","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",74,2285,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Dendropanax","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",75,2285,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Citrus","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",76,2285,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Citrus Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Citrus hystrix","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",77,2285,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Citrus hystrix DC.","Resolved",0.999,"Tropicos - Missouri Botanical Garden"
"Persea americana","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",78,2286,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Persea Americana","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Zanthoxylum rhoifolium","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",79,2286,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Inga spuria","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",80,2286,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga spuria","Resolved",0.988,"The International Plant Names Index"
"Hibiscus elatus","Present",2,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",81,2286,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Hibiscus elatus","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Dendropanax","Present",1,">10cm","1286","1286_1","Mexico","UCIRI","Restoration","Restoration","30x30",82,2286,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",3,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",83,2287,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Dendropanax","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",84,2287,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Hibiscus elatus","Present",4,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",85,2287,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Hibiscus elatus","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Citrus","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",86,2287,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Citrus Sp,","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Croton draco","Present",2,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",87,2287,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Croton draco","Resolved",0.988,"The International Plant Names Index"
"Zanthoxylum rhoifolium","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",88,2287,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Quercus xalapensis","Present",10,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",89,2288,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Quercus xalapensis","Resolved",0.988,"The International Plant Names Index"
"Liquidambar styraciflua","Present",2,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",90,2288,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Gliricidia sepium","Present",3,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",91,2288,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Dendropanax","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",92,2288,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Dendropanax Sp.","Resolved",0.75,"Tropicos - Missouri Botanical Garden"
"Palo de canela silvestre",NA,2,NA,"1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",93,2288,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"Zanthoxylum rhoifolium","Present",7,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",94,2289,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Zanthoxylum rhoifolium","Resolved",0.988,"The International Plant Names Index"
"Spondias mombin","Present",3,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",95,2289,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Spondias mombin, S.","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
"Inga vera","Present",2,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",96,2289,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Inga vera","Resolved",0.988,"The International Plant Names Index"
"Palo de canela silvestre","Present",1,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",97,2289,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Palo de canela silvestre","Needs Review",NA,NA
"Liquidambar styraciflua",NA,7,NA,"1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",98,2290,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Liquidambar Styraciflua","Resolved",0.988,"The International Plant Names Index"
"Annona squamosa","Present",3,">10cm","1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",99,2290,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Annona squamosa","Resolved",0.988,"The International Plant Names Index"
"Gliricidia sepium",NA,5,NA,"1285","1285_1","Mexico","UCIRI","Restoration","Restoration","30x30",100,2290,"main","Normal_30x30",NA,"Permanent",0,0,"Los árboles se sembraron con una separación de 2 m por 2 m","Y0","Gliricidia Sepium","Resolved",0.988,"Tropicos - Missouri Botanical Garden"
