"Organization_Name","Site_ID","Plot_ID","SiteType","Plot_Type","Coordinate_System_Used","Northeast_Corner_of_30m_x_30m_Plot","Northeast_Corner_of_30m_x_30m_Plot_latitude","Northeast_Corner_of_30m_x_30m_Plot_longitude","Northeast_Corner_of_30m_x_30m_Plot_altitude","Northeast_Corner_of_30m_x_30m_Plot_precision","Northeast_Corner_of_30m_x_30m_Plot_wkt","Southeast_Corner_of_30m_x_30m_Plot","Southeast_Corner_of_30m_x_30m_Plot_latitude","Southeast_Corner_of_30m_x_30m_Plot_longitude","Southeast_Corner_of_30m_x_30m_Plot_altitude","Southeast_Corner_of_30m_x_30m_Plot_precision","Southeast_Corner_of_30m_x_30m_Plot_wkt","Southwest_Corner_of_30m_x_30m_Plot","Southwest_Corner_of_30m_x_30m_Plot_latitude","Southwest_Corner_of_30m_x_30m_Plot_longitude","Southwest_Corner_of_30m_x_30m_Plot_altitude","Southwest_Corner_of_30m_x_30m_Plot_precision","Southwest_Corner_of_30m_x_30m_Plot_wkt","Northwest_Corner_of_30m_x_30m_Plot","Northwest_Corner_of_30m_x_30m_Plot_latitude","Northwest_Corner_of_30m_x_30m_Plot_longitude","Northwest_Corner_of_30m_x_30m_Plot_altitude","Northwest_Corner_of_30m_x_30m_Plot_precision","Northwest_Corner_of_30m_x_30m_Plot_wkt","Centroid_of_3m_x_3m_Subplot","Centroid_of_3m_x_3m_Subplot_latitude","Centroid_of_3m_x_3m_Subplot_longitude","Centroid_of_3m_x_3m_Subplot_altitude","Centroid_of_3m_x_3m_Subplot_precision","Centroid_of_3m_x_3m_Subplot_wkt","Northeast_Corner_of_10m_x_10m_Plot","Northeast_Corner_of_10m_x_10m_Plot_latitude","Northeast_Corner_of_10m_x_10m_Plot_longitude","Northeast_Corner_of_10m_x_10m_Plot_altitude","Northeast_Corner_of_10m_x_10m_Plot_precision","Northeast_Corner_of_10m_x_10m_Plot_wkt","Southeast_Corner_of_10m_x_10m_Plot","Southeast_Corner_of_10m_x_10m_Plot_latitude","Southeast_Corner_of_10m_x_10m_Plot_longitude","Southeast_Corner_of_10m_x_10m_Plot_altitude","Southeast_Corner_of_10m_x_10m_Plot_precision","Southeast_Corner_of_10m_x_10m_Plot_wkt","Southwest_Corner_of_10m_x_10m_Plot","Southwest_Corner_of_10m_x_10m_Plot_latitude","Southwest_Corner_of_10m_x_10m_Plot_longitude","Southwest_Corner_of_10m_x_10m_Plot_altitude","Southwest_Corner_of_10m_x_10m_Plot_precision","Southwest_Corner_of_10m_x_10m_Plot_wkt","Northwest_Corner_of_10m_x_10m_Plot","Northwest_Corner_of_10m_x_10m_Plot_latitude","Northwest_Corner_of_10m_x_10m_Plot_longitude","Northwest_Corner_of_10m_x_10m_Plot_altitude","Northwest_Corner_of_10m_x_10m_Plot_precision","Northwest_Corner_of_10m_x_10m_Plot_wkt","Centroid_of_3m_x_3m_Subplot2_latitude","Centroid_of_3m_x_3m_Subplot2_longitude","Centroid_of_3m_x_3m_Subplot2_altitude","Centroid_of_3m_x_3m_Subplot2_precision","Centroid_of_3m_x_3m_Subplot2","Centroid_of_3m_x_3m_Subplot1_latitude","Centroid_of_3m_x_3m_Subplot1_longitude","Centroid_of_3m_x_3m_Subplot1_altitude","Centroid_of_3m_x_3m_Subplot1_precision","Centroid_of_3m_x_3m_Subplot1","Centroid_of_3m_x_3m_Subplot2_wkt","Centroid_of_3m_x_3m_Subplot1_wkt"
"Reforest Action","329","29","Restoration","Restoration","Lambert","49.139677 2.406256 103.4217529296875 8.427000045776367",49.139677,2.406256,103.421752929688,8.42700004577637,"POINT (2.406256 49.139677 103.4217529296875)","49.140022 2.406396 125.8631591796875 8.838000297546387",49.140022,2.406396,125.863159179688,8.83800029754639,"POINT (2.406396 49.140022 125.8631591796875)","49.13993 2.406626 99.04302978515625 10.276000022888184",49.13993,2.406626,99.0430297851562,10.2760000228882,"POINT (2.406626 49.13993 99.04302978515625)","49.13962 2.406354 86.1783447265625 15.190999984741211",49.13962,2.406354,86.1783447265625,15.1909999847412,"POINT (2.406354 49.13962 86.1783447265625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.139741,2.406498,108.812744140625,13.326000213623,"49.139741 2.406498 108.812744140625 13.326000213623047",NA,NA,NA,NA,NA,"POINT (2.406498 49.139741 108.812744140625)",NA
"Reforest Action","329","34","Restoration","Restoration","Lambert","49.140423 2.405546 58.288027991126924 18.723216878694508",49.140423,2.405546,58.2880279911269,18.7232168786945,"POINT (2.405546 49.140423 58.288027991126924)","49.140143 2.405696 58.2732899794355 11.968692318614453",49.140143,2.405696,58.2732899794355,11.9686923186145,"POINT (2.405696 49.140143 58.2732899794355)","49.140168 2.4059 58.757119274554995 18.730368203218323",49.140168,2.4059,58.757119274555,18.7303682032183,"POINT (2.4059 49.140168 58.757119274554995)","49.140221 2.405287 58.820902180857956 90.45389097739219",49.140221,2.405287,58.8209021808579,90.4538909773922,"POINT (2.405287 49.140221 58.820902180857956)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.140295,2.405989,59.278464814648,48.7210277068323,"49.140295 2.405989 59.27846481464803 48.72102770683233",NA,NA,NA,NA,NA,"POINT (2.405989 49.140295 59.27846481464803)",NA
"Reforest Action","329","35","Control","Control","Lambert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.141272 2.4063 58.13839364144951 65.66784956404872",49.141272,2.4063,58.1383936414495,65.6678495640487,"POINT (2.4063 49.141272 58.13839364144951)","49.141412 2.40598 62.17692184448242 45.14037168301977",49.141412,2.40598,62.1769218444824,45.1403716830198,"POINT (2.40598 49.141412 62.17692184448242)","49.141568 2.406526 58.69298560731113 15.132301434838205",49.141568,2.406526,58.6929856073111,15.1323014348382,"POINT (2.406526 49.141568 58.69298560731113)","49.141447 2.40642 58.019119962215385 29.482388361079437",49.141447,2.40642,58.0191199622154,29.4823883610794,"POINT (2.40642 49.141447 58.019119962215385)",NA,NA,NA,NA,NA,49.141499,2.406214,58.1967389313504,69.789789039531,"49.141499 2.406214 58.19673893135041 69.78978903953102",NA,"POINT (2.406214 49.141499 58.19673893135041)"
"Reforest Action","329","30","Restoration","Restoration","Lambert","49.138616 2.406486 102.26995849609375 10.621000289916992",49.138616,2.406486,102.269958496094,10.621000289917,"POINT (2.406486 49.138616 102.26995849609375)","49.138666 2.406511 106.505126953125 8.342000007629395",49.138666,2.406511,106.505126953125,8.34200000762939,"POINT (2.406511 49.138666 106.505126953125)","49.138943 2.406279 78.38720703125 11.557999610900879",49.138943,2.406279,78.38720703125,11.5579996109009,"POINT (2.406279 49.138943 78.38720703125)","49.138754 2.406298 86.18560791015625 7.7829999923706055",49.138754,2.406298,86.1856079101562,7.7829999923706,"POINT (2.406298 49.138754 86.18560791015625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.13865,2.406309,89.7916259765625,11.048999786377,"49.13865 2.406309 89.7916259765625 11.048999786376953",NA,NA,NA,NA,NA,"POINT (2.406309 49.13865 89.7916259765625)",NA
"Reforest Action","329","31","Restoration","Restoration","Lambert","49.138831 2.405133 92.7576904296875 14.373000144958496",49.138831,2.405133,92.7576904296875,14.3730001449585,"POINT (2.405133 49.138831 92.7576904296875)","49.139103 2.405814 91.36602783203125 15.675000190734863",49.139103,2.405814,91.3660278320312,15.6750001907349,"POINT (2.405814 49.139103 91.36602783203125)","49.139074 2.405821 98.0294189453125 9.562999725341797",49.139074,2.405821,98.0294189453125,9.5629997253418,"POINT (2.405821 49.139074 98.0294189453125)","49.138868 2.405598 84.70855712890625 10.109000205993652",49.138868,2.405598,84.7085571289062,10.1090002059937,"POINT (2.405598 49.138868 84.70855712890625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.139159,2.405593,100.643798828125,14.3000001907349,"49.139159 2.405593 100.643798828125 14.300000190734863",NA,NA,NA,NA,NA,"POINT (2.405593 49.139159 100.643798828125)",NA
"Reforest Action","329","32","Restoration","Restoration","Lambert","49.139403 2.40569 89.14727783203125 8.107000350952148",49.139403,2.40569,89.1472778320312,8.10700035095215,"POINT (2.40569 49.139403 89.14727783203125)","49.139755 2.405696 128.37115478515625 10.961000442504883",49.139755,2.405696,128.371154785156,10.9610004425049,"POINT (2.405696 49.139755 128.37115478515625)","49.139718 2.406055 102.16845703125 10.95199966430664",49.139718,2.406055,102.16845703125,10.9519996643066,"POINT (2.406055 49.139718 102.16845703125)","49.139555 2.40593 74.51031494140625 13.123000144958496",49.139555,2.40593,74.5103149414062,13.1230001449585,"POINT (2.40593 49.139555 74.51031494140625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.139566,2.405564,97.9168701171875,7.46299982070923,"49.139566 2.405564 97.9168701171875 7.4629998207092285",NA,NA,NA,NA,NA,"POINT (2.405564 49.139566 97.9168701171875)",NA
"Reforest Action","329","33","Restoration","Restoration","Lambert","49.139387 2.404402 99.6634521484375 7.0320000648498535",49.139387,2.404402,99.6634521484375,7.03200006484985,"POINT (2.404402 49.139387 99.6634521484375)","49.13965 2.404554 71.501953125 10.086999893188477",49.13965,2.404554,71.501953125,10.0869998931885,"POINT (2.404554 49.13965 71.501953125)","49.139591 2.404863 77.85260009765625 7.004000186920166",49.139591,2.404863,77.8526000976562,7.00400018692017,"POINT (2.404863 49.139591 77.85260009765625)","49.139292 2.404631 99.9693603515625 7.8429999351501465",49.139292,2.404631,99.9693603515625,7.84299993515015,"POINT (2.404631 49.139292 99.9693603515625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.139103,2.404403,40.038818359375,20.5690002441406,"49.139103 2.404403 40.038818359375 20.569000244140625",NA,NA,NA,NA,NA,"POINT (2.404403 49.139103 40.038818359375)",NA
"Reforest Action","329","34","Restoration","Restoration","Lambert","49.139213 2.403948 108.1143798828125 7.28000020980835",49.139213,2.403948,108.114379882812,7.28000020980835,"POINT (2.403948 49.139213 108.1143798828125)","49.139321 2.403978 96.19891357421875 10.08899974822998",49.139321,2.403978,96.1989135742188,10.08899974823,"POINT (2.403978 49.139321 96.19891357421875)","49.139649 2.404277 108.37921142578125 15.411999702453613",49.139649,2.404277,108.379211425781,15.4119997024536,"POINT (2.404277 49.139649 108.37921142578125)","49.139178 2.403941 97.35791015625 11.045000076293945",49.139178,2.403941,97.35791015625,11.0450000762939,"POINT (2.403941 49.139178 97.35791015625)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.139218,2.404238,114.636535644531,9.7209997177124,"49.139218 2.404238 114.63653564453125 9.720999717712402",NA,NA,NA,NA,NA,"POINT (2.404238 49.139218 114.63653564453125)",NA
"Reforest Action","279","1","Restoration","Restoration","Lambert","49.209078 2.499167 58.74943670437811 9.24688682344749",49.209078,2.499167,58.7494367043781,9.24688682344749,"POINT (2.499167 49.209078 58.74943670437811)","49.209009 2.498888 59.177997749263966 38.44627403642841",49.209009,2.498888,59.177997749264,38.4462740364284,"POINT (2.498888 49.209009 59.177997749263966)","49.209 2.49918 58.82905855763407 28.964423095784696",49.209,2.49918,58.8290585576341,28.9644230957847,"POINT (2.49918 49.209 58.82905855763407)","49.208899 2.499331 59.6026854403317 41.08680284458613",49.208899,2.499331,59.6026854403317,41.0868028445861,"POINT (2.499331 49.208899 59.6026854403317)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.209003,2.499176,58.7928081518039,57.1880058997991,"49.209003 2.499176 58.79280815180391 57.18800589979909",NA,NA,NA,NA,NA,"POINT (2.499176 49.209003 58.79280815180391)",NA
"Reforest Action","334","16","Restoration","Restoration","Lambert","49.158466 2.54097 101.17095947265625 8.560999870300293",49.158466,2.54097,101.170959472656,8.56099987030029,"POINT (2.54097 49.158466 101.17095947265625)","49.158659 2.54093 96.477783203125 10.579000473022461",49.158659,2.54093,96.477783203125,10.5790004730225,"POINT (2.54093 49.158659 96.477783203125)","49.158553 2.541051 80.9000015258789 4.638000011444092",49.158553,2.541051,80.9000015258789,4.63800001144409,"POINT (2.541051 49.158553 80.9000015258789)","49.15846 2.541195 80.9000015258789 5.879000186920166",49.15846,2.541195,80.9000015258789,5.87900018692017,"POINT (2.541195 49.15846 80.9000015258789)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.158648,2.541068,99.5700073242188,10.4619998931885,"49.158648 2.541068 99.57000732421875 10.461999893188477",NA,NA,NA,NA,NA,"POINT (2.541068 49.158648 99.57000732421875)",NA
"Reforest Action","334","17","Restoration","Restoration","Lambert","49.157837 2.541004 108.2720947265625 9.772000312805176",49.157837,2.541004,108.272094726562,9.77200031280518,"POINT (2.541004 49.157837 108.2720947265625)","49.158239 2.540831 107.17138671875 17.746000289916992",49.158239,2.540831,107.17138671875,17.746000289917,"POINT (2.540831 49.158239 107.17138671875)","49.158068 2.54118 102.9036865234375 6.439000129699707",49.158068,2.54118,102.903686523438,6.43900012969971,"POINT (2.54118 49.158068 102.9036865234375)","49.15792 2.541134 106.7425537109375 15.038000106811523",49.15792,2.541134,106.742553710938,15.0380001068115,"POINT (2.541134 49.15792 106.7425537109375)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.158051,2.541248,106.148376464844,4.65100002288818,"49.158051 2.541248 106.14837646484375 4.651000022888184",NA,NA,NA,NA,NA,"POINT (2.541248 49.158051 106.14837646484375)",NA
