"query","family"
"Psidium guajava","Myrtaceae"
"Cupressus lusitanica lindleyi",NA
"Citrus aurantiifolia","Rutaceae"
"Pseudosmodingium multifolium",NA
"Ternstroemia luquillensis",NA
"Verbesina myriocephala","Asteraceae"
"Platanus mexicana","Platanaceae"
"Acacia collinsii","Fabaceae"
"Vijao",NA
"Manga","Noctuidae"
"Folha composta",NA
"Annonaceae","Annonaceae"
"Néant",NA
"guachipilin",NA
"Guayaba",NA
"Chalun",NA
"Quercus skinneri","Fagaceae"
"Ochroma pyramidale","Malvaceae"
"Platanos",NA
"Trompillo","Convolvulaceae"
"Nispero",NA
"Astronium graveolens","Anacardiaceae"
"Ulmus","Ulmaceae"
"Chicharo",NA
"Ficus aurea","Moraceae"
"Inga jinicuil","Fabaceae"
"Calycophyllum candidissimum","Rubiaceae"
"Annona macroprophyllata","Annonaceae"
"Sideroxylon capiri","Sapotaceae"
"Quercus candicans","Fagaceae"
"Platymiscium dimorphandrum","Fabaceae"
"Pitio",NA
"Andira inermis","Fabaceae"
"Ternstroemia lineata","Pentaphylacaceae"
"Diospyros digyna","Ebenaceae"
"Styrax argenteus","Styracaceae"
"Coccoloba acapulcensis","Polygonaceae"
"Chiranthodendron pentadactylon","Malvaceae"
"Tabebuia donnell-smithii","Bignoniaceae"
"Muntingia calabura","Muntingiaceae"
"Manilkara zapota","Sapotaceae"
"Litsea glaucescens","Lauraceae"
"Chiombo",NA
"Uapaca kirkiana","Phyllanthaceae"
"Chiwombo",NA
"No",NA
"Ficus","Moraceae"
"Nkhadzi",NA
"Semecarpus cuneiformis",NA
"Homalanthus populneus","Euphorbiaceae"
"Carallia borneensis",NA
"Pterospermum diversifolium",NA
"Garcinia forbesii","Clusiaceae"
"Cratoxylum sumatranum","Hypericaceae"
"Syzygium costulatum",NA
"Canarium luzonicum",NA
"Barringtonia asiatica","Lecythidaceae"
"Ficus nota","Moraceae"
"Macaranga grandifolia","Euphorbiaceae"
"Nephelium lappaceum","Sapindaceae"
"Polyscias nodosa","Araliaceae"
"Pterocymbium tinctorium","Malvaceae"
"Parkia timoriana","Fabaceae"
"Syzygium xanthophyllum",NA
"Lagerstroemia speciosa","Lythraceae"
"Vitex","Lamiaceae"
"Koordersiodendron pinnatum",NA
"Diospyros pyrrhocarpa","Ebenaceae"
"Artocarpus ovatus","Moraceae"
"Omalanthus fastuosus",NA
"Dysoxylum gaudichaudianum","Meliaceae"
"Gomphandra luzoniensis","Stemonuraceae"
"Azadirachta excelsa","Meliaceae"
"Masuku",NA
"O",NA
"Brachystegia","Fabaceae"
"Croton urucurana","Euphorbiaceae"
"Saurauia serrata","Actinidiaceae"
"Fouquieria splendens","Fouquieriaceae"
"Schinopsis balansae","Anacardiaceae"
"Persea schiedeana","Lauraceae"
"Euphorbia macvaughii","Euphorbiaceae"
"Callistemon citrinus","Myrtaceae"
"Trophis racemosa","Moraceae"
"Homalium trichostemon",NA
"Nectandra leucantha","Lauraceae"
"Thouinidium decandrum","Sapindaceae"
"Juniperus squamata","Cupressaceae"
"Ficus benjamina","Moraceae"
"Gynostemma pentaphyllum","Cucurbitaceae"
"Syzygium jambos","Myrtaceae"
"Dorstenia brasiliensis","Moraceae"
"Brosimum","Moraceae"
"Ficus insipida","Moraceae"
"Rhodamnia rubescens","Myrtaceae"
"Pseudobombax ellipticum","Malvaceae"
"Haematoxylum brasiletto","Fabaceae"
"Genipa americana","Rubiaceae"
"Nectandra lineata","Lauraceae"
"Theobroma bicolor","Malvaceae"
"Inga","Fabaceae"
"Amphipterygium adstringens","Anacardiaceae"
"Citrus reticulata","Rutaceae"
"Aquilaria sinensis","Thymelaeaceae"
"Quercus subspathulata","Fagaceae"
"Quercus devia","Fagaceae"
"Sebastiania brasiliensis","Euphorbiaceae"
"Hamelia patens","Rubiaceae"
"Trema micrantha","Cannabaceae"
"Nectandra","Lauraceae"
"Fouquieria ochoterenae","Fouquieriaceae"
"Hymenaea courbaril","Fabaceae"
"Annona muricata","Annonaceae"
"Ficus carica","Moraceae"
"Cedrus","Pinaceae"
"Prunus domestica","Rosaceae"
"Annona cherimola","Annonaceae"
"Persea mutisii","Lauraceae"
"Acacia cochliacantha","Fabaceae"
"Acacia farnesiana","Fabaceae"
"Pterocarpus","Fabaceae"
"Heliocarpus donnellsmithii","Malvaceae"
"Vachellia collinsii","Fabaceae"
"Zanthoxylum riedelianum","Rutaceae"
"Spondias purpurea","Anacardiaceae"
"Sterculia comosa",NA
"Mangifera altissima","Anacardiaceae"
"Barringtonia macrostachya","Lecythidaceae"
"Aglaia rimosa","Meliaceae"
"Mallotus philippensis","Euphorbiaceae"
"Macaranga tanarius","Euphorbiaceae"
"Ficus minahassae","Moraceae"
"Myristica fatua","Myristicaceae"
"Cinnamomum","Lauraceae"
"Canthium dicoccum","Rubiaceae"
"Canarium asperum",NA
"Ficus variegata","Moraceae"
"Gnetum gnemon","Gnetaceae"
"Alstonia macrophylla","Apocynaceae"
"Syzygium curranii",NA
"Eugenia rhombea","Myrtaceae"
"Palaquium tenuipetiolatum",NA
"Anacardium occidentale","Anacardiaceae"
"Sandoricum koetjape","Meliaceae"
"Melanolepis multiglandulosa","Euphorbiaceae"
"Cryptocarya acuminata",NA
"Nauclea orientalis","Rubiaceae"
"Eugenia jambolana","Myrtaceae"
"Assang",NA
"Millettia laurentii","Fabaceae"
"Ontang",NA
"Piptadeniastrum africanum","Fabaceae"
"Maesopsis","Rhamnaceae"
"Afromosia","Asilidae"
"Maesopsis eminii","Rhamnaceae"
"Nguba mindele",NA
"Nguba",NA
"Ricinodendron heudelotii","Euphorbiaceae"
"Onkok",NA
"Cassia","Fabaceae"
"Ngumba mindele",NA
"Pericopsis elata","Fabaceae"
"Canarium","Burseraceae"
"Safout foret",NA
"Ricinodendron africanum",NA
"Padouk",NA
"Milletia","Fabaceae"
"Ngumba",NA
"Ngylo",NA
"Ricinodendron","Euphorbiaceae"
"Uapaca mole",NA
"Milicia excelsa","Moraceae"
"Nonoka",NA
"Kisaka",NA
"Pas darbres plus de 10cm",NA
"Saf de la forêt",NA
"Nsaf de la forêt",NA
"Pachira aquatica","Malvaceae"
"Croton mubango",NA
"Canarium schweinfurtii","Burseraceae"
"Dialium pachyphyllum","Fabaceae"
"Uapaca","Phyllanthaceae"
"Erythrophleum","Fabaceae"
"Pentaclethra","Fabaceae"
"Dacryodes normandii","Burseraceae"
"Guibourtia demeusei","Fabaceae"
"Pterocarpus soyauxii","Fabaceae"
"Evea brasiliensis",NA
"Erythrophleum ivorense","Fabaceae"
"Prioria balsamifera","Fabaceae"
"Leucena cena 1",NA
"Hevea","Euphorbiaceae"
"Adenanthera pavonina","Fabaceae"
"Millettia drastica","Fabaceae"
"Ongokea gore","Aptandraceae"
"Musanga","Urticaceae"
"Musanga cecropioides","Urticaceae"
"Tetraberlinia bifoliolata","Fabaceae"
"Parkia bicolor","Fabaceae"
"Oncoba welwitschii",NA
"Cekyoprodes",NA
"Cekioprodes",NA
"Bobgunnia fistuloides","Fabaceae"
"Millettia soyauxii","Fabaceae"
"Laecena cena",NA
"Mwana mpembe",NA
"Prioria","Fabaceae"
"Bois noir 20Piptodeniastrum africanum",NA
"5",NA
"Owes 29Bois noir 3Osing 4Maesopsi 9Casia ciamea 13Total 58",NA
"Osing 40Bois noir 6Oniel 4Casia ciamea 4Owes 25Total 77",NA
"Paramacrolobium","Fabaceae"
"Autranella congolensis","Sapotaceae"
"Celtis tessmannii","Cannabaceae"
"Gilbertiodendron dewevrei","Fabaceae"
"Leplaea cedrata","Meliaceae"
"Osing  2",NA
"Tetrapleura tetraptera","Fabaceae"
"Hymenocardia acida","Phyllanthaceae"
"Albizia adianthifolia","Fabaceae"
"Menocardia",NA
"Baillonella toxisperma","Sapotaceae"
"Kikos",NA
"Lesena",NA
"Vermoxe",NA
"Bois noir",NA
"Bois noir 36",NA
"Bois noir 50",NA
"Senna siamea","Fabaceae"
"Acacia floribunda","Fabaceae"
"Entandrophragma cylindricum","Meliaceae"
"Prioria oxyphylla","Fabaceae"
"Evea",NA
"Guibourtia","Fabaceae"
"Dialium","Fabaceae"
"Bobgunnia","Fabaceae"
"Gilbertiodendron","Fabaceae"
"Pycnanthus angolensis","Myristicaceae"
"Ficus tiliifolia","Moraceae"
"ghh",NA
"À",NA
"Grevillea banksii","Proteaceae"
"Akondro",NA
"L",NA
"Grevellia",NA
"Monoporus paludosus","Primulaceae"
"Xylopia humblotiana","Annonaceae"
"Syzygium parkeri",NA
"Tambourissa baronii",NA
"Eugenia jambosa",NA
"Syzygium guineense","Myrtaceae"
"Thecacoris cometia","Phyllanthaceae"
"Eucalyptus camaldulensis","Myrtaceae"
"Melia azedarach","Meliaceae"
"Grevillia",NA
"Albizia perrieri","Fabaceae"
"Brachylaena","Asteraceae"
"Grevillia robusta",NA
"Pinus patula","Pinaceae"
"Asteropeia micraster","Asteropeiaceae"
"Quiebra coyol",NA
"Centrolobium ochroxylum","Fabaceae"
"Aspidosperma cruentum","Apocynaceae"
"Torongil",NA
"Ehretia latifolia","Ehretiaceae"
"Manzana de mono",NA
"Cajoncillo",NA
"Inga paterno","Fabaceae"
"Capulin blanco",NA
"Canaco",NA
"Amate",NA
"Chote",NA
"Caspirol",NA
"Guarumbo","Urticaceae"
"mano de León",NA
"Terminalia oblonga","Combretaceae"
"Cecropia obtusifolia","Urticaceae"
"Cajete",NA
"Vernonia deppeana","Asteraceae"
"Pino",NA
"Palo de agua",NA
"Igueria",NA
"Aspidosperma megalocarpon","Apocynaceae"
"Polygonum punctatum","Polygonaceae"
"Malus pumila","Rosaceae"
"Kunnt",NA
"Capulin de paloma",NA
"Gyrocarpus americanus","Hernandiaceae"
"Pitavia punctata","Rutaceae"
"Chalum blanco",NA
"Chaperla",NA
"Caridea",NA
"Laurus nobilis","Lauraceae"
"Lombricillo",NA
"Chalum",NA
"Annona","Annonaceae"
"Acrocomia vinifera",NA
"Melissa officinalis","Lamiaceae"
"Hippomane","Euphorbiaceae"
"Dracaena cinnabari","Asparagaceae"
"Portoricensis pittier",NA
"Schizolobium parahyba","Fabaceae"
"Lonchocarpus yoroensis",NA
"Citronella mucronata","Cardiopteridaceae"
"Caesalpinia parahyba",NA
"Ternstroemia huasteca","Pentaphylacaceae"
"Persicaria punctata","Polygonaceae"
"Tabebuia","Bignoniaceae"
"Calophyllum brasiliense","Calophyllaceae"
"Ocotea","Lauraceae"
"Inga micheliana",NA
"Lippia myriocephala","Verbenaceae"
"Saurauia madrensis","Actinidiaceae"
"Andira","Fabaceae"
"Coccoloba","Polygonaceae"
"Acacia cornigera","Fabaceae"
"Cecropia","Urticaceae"
"Randia","Rubiaceae"
"Cojoba","Fabaceae"
"Platymiscium yucatanum","Fabaceae"
"Croton","Euphorbiaceae"
"Camaron",NA
"Conocarpus erectus","Combretaceae"
"Acacia","Fabaceae"
"Burócrata cimaruba",NA
"Anona",NA
"Chrysophyllum mexicanum","Sapotaceae"
"Citrus latifolia","Rutaceae"
"Eysenhardtia adenostylis","Fabaceae"
"Piscidia","Fabaceae"
"Citrus paradisi","Rutaceae"
"Annona reticulata","Annonaceae"
"Guarea grandifolia","Meliaceae"
"Nectandra membranacea","Lauraceae"
"Annona purpurea","Annonaceae"
"Parmentiera aculeata","Bignoniaceae"
"Aguacatillo",NA
"Macuil",NA
"Coralillo",NA
"Cacao","Malvaceae"
"Cuil",NA
"Purshia mexicana","Rosaceae"
"Zapote negro",NA
"Huanche",NA
"Huanchal",NA
"Tejon",NA
"Frijolillo","Fabaceae"
"Palo de piedra",NA
"Palo de obo",NA
"Guanabana","Annonaceae"
"Caulote",NA
"Guanaba",NA
"Aguacate",NA
"Ceiba","Malvaceae"
"Juan diego",NA
"Cedro blanco",NA
"Huarumbo",NA
"Theobroma","Malvaceae"
"Chico negrito",NA
"Palo de tinta",NA
"Sanhualico",NA
"Musa paradisiaca","Musaceae"
"Macuite",NA
"Palo tejon",NA
"Escobillo",NA
"Rabo de iguana",NA
"Huarunbo",NA
"Mulato",NA
"Chico zapoteVoladorJuizte",NA
"Palo de copal",NA
"Pouteria glomerata","Sapotaceae"
"Palo de hormiga",NA
"Pata de gallo",NA
"Pipe",NA
"Pato de gallo",NA
"Pouteria sapota","Sapotaceae"
"Achiote montés",NA
"Monstera deliciosa","Araceae"
"Piscielia piscipule (amarillo)",NA
"Guirsiña",NA
"Piscidia piscipula","Fabaceae"
"Majahua",NA
"Pipi",NA
"Cordia megalantha","Cordiaceae"
"Cupania guatemalensis","Sapindaceae"
"Barbasco blanco",NA
"Espina",NA
"Zanthoxylum fagara","Rutaceae"
"Arbol desconocido no identificado",NA
"Majauhua de pinolillo",NA
"Majahua de tuza.",NA
"Frutilla",NA
"Arbol de ahuate (arbol desconocido no identificado)",NA
"Bixa orellana","Bixaceae"
"Mora","Fabaceae"
"Pipi (desconocido no identificado)",NA
"Arbol amarillo (desconocido no.identificado)",NA
"Morus","Moraceae"
"Corpo",NA
"Vochysia vismiifolia",NA
"Arbol de calabaza desconocido no identificado",NA
"Chrysobalanus icaco","Chrysobalanaceae"
"Arbol colorado desconocido no identificado",NA
"Pipi desconocido no identificado",NA
"Arbol amarillo desconocido no identificado",NA
"Cordia elaeagnoides","Cordiaceae"
"Bursera","Burseraceae"
"Arbol desconicido no identificado",NA
"Prunus webbii","Rosaceae"
"Juan he",NA
"Terminalia microcarpa","Combretaceae"
"Guioa pleuropteris",NA
"Aglaia luzoniensis","Meliaceae"
"Mussaenda philippica","Rubiaceae"
"Drypetes grandifolia",NA
"Dalbergia melanoxylon","Fabaceae"
"Alicia","Malpighiaceae"
"Tecoma stans","Bignoniaceae"
"Senna macranthera","Fabaceae"
"Beilschmiedia","Lauraceae"
"Mphangala",NA
"Kaumbwe",NA
"mlama",NA
"Chisoyo",NA
"Maviru",NA
"Mtanthanyelere",NA
"mkukhu",NA
"Msuku",NA
"Muula",NA
"Mlama",NA
"1",NA
"Maviro",NA
"Vitex doniana","Lamiaceae"
"Mloro",NA
"Katope",NA
"Muwula",NA
"Mkalakati",NA
"Maula","Myrmeleontidae"
"Uappaka kirkiana",NA
"Coffe",NA
"Jatropha gossypiifolia","Euphorbiaceae"
"Homalium","Salicaceae"
"Lonchocarpus xuul",NA
"Dalbergia calycina","Fabaceae"
"Theobroma cacao","Malvaceae"
"Garcinia smeathmanii",NA
"Swietenia macrophylla","Meliaceae"
"Syzygium phanerophlebium",NA
"Thilachium verrucosum",NA
"Dalbergia monticola","Fabaceae"
"ghhh",NA
"Eriobotrya","Rosaceae"
"Majidea zanguebarica","Sapindaceae"
"Croton noronhae","Euphorbiaceae"
"Punis",NA
"Desmodium barbatum","Fabaceae"
"Canarium madagascariense","Burseraceae"
"Aloe serra",NA
"Euphorbia tulearensis","Euphorbiaceae"
"Uapaca thouarsii","Phyllanthaceae"
"Desmodium","Fabaceae"
"Voapika aluaudi",NA
"Luxa capitata",NA
"Clidemia hirta","Melastomataceae"
"Diospyros","Ebenaceae"
"Thilachium sumangui",NA
"Philippia floribunda",NA
"Entada","Fabaceae"
"Rourea orientalis","Connaraceae"
"Cestrum nocturnum","Solanaceae"
"Chamaedorea elegans","Arecaceae"
"Arbol bejuco, no conocido",NA
"Myrciaria floribunda","Myrtaceae"
"Chamaedorea tepejilote","Arecaceae"
"Casiría Corymbosa",NA
"Lombricera",NA
"Chichicasle",NA
"Caca lol",NA
"Sycamore",NA
"Cornus amomum","Cornaceae"
"Acer rubrum","Sapindaceae"
"Rhus typhina","Anacardiaceae"
"Rhus copallinum","Anacardiaceae"
"Liriodendron tulipifera","Magnoliaceae"
"Caco",NA
"Ninguno",NA
"Trichilia havanensis","Meliaceae"
"Arbol desconocido (no identificado de calabaza)",NA
"Leucosyke capitellata","Urticaceae"
"Ficus septica","Moraceae"
"Lambinana (nom scientifique ?)",NA
"Vernonia glutinosa","Asteraceae"
"Trema orientale","Cannabaceae"
"Fandridambo",NA
"Syzygium","Myrtaceae"
"MN",NA
"RAS",NA
"Philippia madagascariensis",NA
"fdf",NA
"Plumeria rubra","Apocynaceae"
"Jirofo",NA
"Buddleja madagascariensis","Scrophulariaceae"
"Pas despèces de 1 à 9,9 cm (DHP)",NA
"Lambinana ( nom scientifique??)",NA
"Autre espèce",NA
"Cnestis polyphylla","Connaraceae"
"Non",NA
"vosefaka",NA
"volomborona",NA
"fotsiambo kijejalahy",NA
"Voapika",NA
"Astéraceas",NA
"Jusrica sp",NA
"Olax glabriflora",NA
"Eugénie off. Cloiselli",NA
"Asplenium pellucidum","Aspleniaceae"
"none",NA
"Fucus","Fucaceae"
"Erica","Ericaceae"
