"species","alien_range","native_range","status"
"Eucalyptus macrorhyncha",NA,NA,"Not in GISD"
"Eucalyptus melliodora",NA,NA,"Not in GISD"
"trees",NA,NA,"Not in GISD"
"Allocasurina verticillata",NA,NA,"Not in GISD"
"Bursaria spinosa",NA,NA,"Not in GISD"
"Eucalyptus ovata",NA,NA,"Not in GISD"
"Eucalyptus viminalis",NA,NA,"Not in GISD"
"Leptospermum contientale",NA,NA,"Not in GISD"
"Leptospermum lanigerum",NA,NA,"Not in GISD"
"Acacia buxifolia",NA,NA,"Not in GISD"
"Acacia decurrens",NA,NA,"Not in GISD"
"Acacia falciformis",NA,NA,"Not in GISD"
"Acacia parramattensis",NA,NA,"Not in GISD"
"Acacia terminalis",NA,NA,"Not in GISD"
"Daviesia leptophylla",NA,NA,"Not in GISD"
"Eucalyptus blakleyi",NA,NA,"Not in GISD"
"Eucalyptus bridgesiana",NA,NA,"Not in GISD"
"Eucalyptus globoidea",NA,NA,"Not in GISD"
"Eucalyptus mannifera",NA,NA,"Not in GISD"
"Eucalyptus punctata",NA,NA,"Not in GISD"
"Eucalyptus polyanthemos",NA,NA,"Not in GISD"
"Acacia implexa",NA,NA,"Not in GISD"
"Acacia rubida",NA,NA,"Not in GISD"
"Acacia verniciflua",NA,NA,"Not in GISD"
"Dodonaea viscosa subsp angustissima",NA,NA,"Not in GISD"
"Dodonaea viscosa subsp spatulata",NA,NA,"Not in GISD"
"Acacia pycnantha",NA,NA,"Not in GISD"
"Mix",NA,NA,"Not in GISD"
"Alchornea triplinervia (Spreng.) Müll. Arg.",NA,NA,"Not in GISD"
"Allophyllus edulis (St. Hill.) Radlk.",NA,NA,"Not in GISD"
"Andira fraxinifolia Benth.",NA,NA,"Not in GISD"
"Annona coriaceae Mart.",NA,NA,"Not in GISD"
"Annona mucosa",NA,NA,"Not in GISD"
"Annona muricata",NA,NA,"Not in GISD"
"Araça",NA,NA,"Not in GISD"
"Arapatiella psilophylla (Harms)",NA,NA,"Not in GISD"
"Astronium fraxinifolium",NA,NA,"Not in GISD"
"Bauhinia forficata Link",NA,NA,"Not in GISD"
"Bixa arborea Benth.",NA,NA,"Not in GISD"
"Bixa orellana",NA,NA,"Not in GISD"
"Byrsonima sericea DC.",NA,NA,"Not in GISD"
"Caderno de capoeira",NA,NA,"Not in GISD"
"Caesalpinea echinata Lamark",NA,NA,"Not in GISD"
"Caesalpinea ferrea Mart.",NA,NA,"Not in GISD"
"Calophyllum brasiliense",NA,NA,"Not in GISD"
"Cambui vermelho",NA,NA,"Not in GISD"
"Capororoca",NA,NA,"Not in GISD"
"Cariniana legalis (Mart.) Kuntze",NA,NA,"Not in GISD"
"Cecropia",NA,NA,"Not in GISD"
"Cedrella odorata L.",NA,NA,"Not in GISD"
"Centrolobium robustum",NA,NA,"Not in GISD"
"Chloroleucon tortum",NA,NA,"Not in GISD"
"Clarisia racemosa R. & Pav.",NA,NA,"Not in GISD"
"Copaifera lucens Dwyer",NA,NA,"Not in GISD"
"Cordia magnoliifolia Cham.",NA,NA,"Not in GISD"
"Cordia trichotoma (Vell.) Arr. Ex. Steudl.",NA,NA,"Not in GISD"
"Croton urucurana",NA,NA,"Not in GISD"
"Cytharexyllum myrianthum Cham.",NA,NA,"Not in GISD"
"Dalbergia nigra Fr. All.",NA,NA,"Not in GISD"
"Embauba",NA,NA,"Not in GISD"
"Embiruçu",NA,NA,"Not in GISD"
"Enterolobium contortisiliquum (Vell.) Morong.",NA,NA,"Not in GISD"
"Eschweilera ovata (Camb.) Miers",NA,NA,"Not in GISD"
"Eugenia florida DC.",NA,NA,"Not in GISD"
"Eugenia uniflora L.",NA,NA,"Not in GISD"
"Farinha seca",NA,NA,"Not in GISD"
"Ficus enormis (Mart. Ex Miq.) Miq.",NA,NA,"Not in GISD"
"Folheiro",NA,NA,"Not in GISD"
"Gallesia integrifolia (Spreng.) harms",NA,NA,"Not in GISD"
"Gameleira preta",NA,NA,"Not in GISD"
"Genipa americana L",NA,NA,"Not in GISD"
"Gonçalo Alves",NA,NA,"Not in GISD"
"Graviola",NA,NA,"Not in GISD"
"Guazuma ulmifolia",NA,NA,"Not in GISD"
"Guazuma ulmifolia Lam.",NA,NA,"Not in GISD"
"Handroanthus albus",NA,NA,"Not in GISD"
"Hymenaea courbaril",NA,NA,"Not in GISD"
"Inga marginata Willd",NA,NA,"Not in GISD"
"Ingá Mirim",NA,NA,"Not in GISD"
"Ipê 5 folhas",NA,NA,"Not in GISD"
"Jacarandá",NA,NA,"Not in GISD"
"Janauba",NA,NA,"Not in GISD"
"Johanesia princeps Vell.",NA,NA,"Not in GISD"
"Libidibia ferrea",NA,NA,"Not in GISD"
"Loro Pardo",NA,NA,"Not in GISD"
"Loro canela",NA,NA,"Not in GISD"
"Machaerium nictitans (vell.) Benth.",NA,NA,"Not in GISD"
"Macrolobium bifolium Pers.",NA,NA,"Not in GISD"
"Manilkara salzmanii (DC.) Lam.",NA,NA,"Not in GISD"
"Mozê",NA,NA,"Not in GISD"
"Mozer",NA,NA,"Not in GISD"
"Mudas sem indentificação",NA,NA,"Not in GISD"
"Mussambê",NA,NA,"Not in GISD"
"Mutamba",NA,NA,"Not in GISD"
"Myrcia rostrata DC.",NA,NA,"Not in GISD"
"Nectandra rubra",NA,NA,"Not in GISD"
"Nectandra rubra (Mez) C. K. Allen",NA,NA,"Not in GISD"
"Oleo Copaiba",NA,NA,"Not in GISD"
"Pata de vaca c/m espinho",NA,NA,"Not in GISD"
"Pau jangada",NA,NA,"Not in GISD"
"Pau sangue",NA,NA,"Not in GISD"
"Paubrasilia echinata",NA,NA,"Not in GISD"
"Peltophorum dubium (Spreng.) Taub.",NA,NA,"Not in GISD"
"Peschiera fuchsiaefolia Miers",NA,NA,"Not in GISD"
"Platymenia foliolosa Benth.",NA,NA,"Not in GISD"
"Pouteria bapeba",NA,NA,"Not in GISD"
"Pouteria caimito",NA,NA,"Not in GISD"
"Protium heptaphyllum (Aubl.) Marchand",NA,NA,"Not in GISD"
"Pseudobombax grandiflorum (Cav.)",NA,NA,"Not in GISD"
"Pterigota brasiliensis Fr. All.",NA,NA,"Not in GISD"
"Pterocarpus rohrii Vahl",NA,NA,"Not in GISD"
"Pterocarpus violaceus",NA,NA,"Not in GISD"
"Pterogyne nitens Tul.",NA,NA,"Not in GISD"
"Sangra D'água",NA,NA,"Not in GISD"
"Sapucaia",NA,NA,"Not in GISD"
"Schinus terebenthifolia Raddi",NA,NA,"Not in GISD"
"Schizolobium parahyba (Vell.) S. F. Blake",NA,NA,"Not in GISD"
"Senna macranthera",NA,NA,"Not in GISD"
"Senna macranthera (DC. Ex Collad.)",NA,NA,"Not in GISD"
"Spondias lutea L.",NA,NA,"Not in GISD"
"Swartizia Langs-dorffi",NA,NA,"Not in GISD"
"Tabebuia heptaphylla (Vell.) Toledo",NA,NA,"Not in GISD"
"Tabebuia impetiginosa (Mart..ex Cond.) Standl",NA,NA,"Not in GISD"
"Tabebuia roseo-alba",NA,NA,"Not in GISD"
"Tabebuia serratifolia (Vahl)Nichols",NA,NA,"Not in GISD"
"Tapirira guianensis Aubl",NA,NA,"Not in GISD"
"Vataireopsis araroba (Aguiar) Ducke",NA,NA,"Not in GISD"
"Zanthoxylum rhoifolium",NA,NA,"Not in GISD"
"Zeyheria tuberculosa",NA,NA,"Not in GISD"
"Schinus terebenthifolia",NA,NA,"Not in GISD"
"Inga marginata",NA,NA,"Not in GISD"
"Andira legalis",NA,NA,"Not in GISD"
"Cordia magnoliifolia",NA,NA,"Not in GISD"
"Peltophorum dubium",NA,NA,"Not in GISD"
"Cedrella odorata",NA,NA,"Not in GISD"
"Cecropia sp",NA,NA,"Not in GISD"
"Dalbergia nigra",NA,NA,"Not in GISD"
"Machaerium nictitans",NA,NA,"Not in GISD"
"Himatanthus drasticus",NA,NA,"Not in GISD"
"Cariniana legalis",NA,NA,"Not in GISD"
"Albizia polycephala",NA,NA,"Not in GISD"
"Gallesia integrifolia",NA,NA,"Not in GISD"
"Talisia esculenta",NA,NA,"Not in GISD"
"Millettia laurentii",NA,NA,"Not in GISD"
"Canarium schweinfurtii",NA,NA,"Not in GISD"
"Piptodeniastrum africanum",NA,NA,"Not in GISD"
"Prioria balsamifera",NA,NA,"Not in GISD"
"Bobgunnia fistuloides",NA,NA,"Not in GISD"
"Pterocarpus sauyauxi",NA,NA,"Not in GISD"
"Dialium pachyphillum",NA,NA,"Not in GISD"
"Cassia floribunda",NA,NA,"Not in GISD"
"Millettia laurenti",NA,NA,"Not in GISD"
"Euterpe oleracea",NA,NA,"Not in GISD"
"Bactris gasipae",NA,NA,"Not in GISD"
"Cedrela fissilis",NA,NA,"Not in GISD"
"Tabebuia",NA,NA,"Not in GISD"
"Theobroma grandiflora",NA,NA,"Not in GISD"
"Bactris gasipaes",NA,NA,"Not in GISD"
"Anacardium occidentale",NA,NA,"Not in GISD"
"Schizolobium amazonicum",NA,NA,"Not in GISD"
"Carapa guianensis",NA,NA,"Not in GISD"
"Theobroma cacao",NA,NA,"Not in GISD"
"Dipteryx",NA,NA,"Not in GISD"
"Andira",NA,NA,"Not in GISD"
"Dipteryx guianensis   Cumarú",NA,NA,"Not in GISD"
"Cordia",NA,NA,"Not in GISD"
"Spondias mombin",NA,NA,"Not in GISD"
"Swietenia macrophylla",NA,NA,"Not in GISD"
"Copaifera",NA,NA,"Not in GISD"
"Inga",NA,NA,"Not in GISD"
"Cassia floribunda & Cassia Siamea",NA,NA,"Not in GISD"
"Penthacletra  macrophilla",NA,NA,"Not in GISD"
"Maesopsis enemii",NA,NA,"Not in GISD"
"Uapaca mole",NA,NA,"Not in GISD"
"Canarium Schweinfurtii",NA,NA,"Not in GISD"
"millettia laurentii",NA,NA,"Not in GISD"
"Cassia floribunda & Cassia siamea",NA,NA,"Not in GISD"
"Penthacletra macrophilla",NA,NA,"Not in GISD"
"Milicia excelsa",NA,NA,"Not in GISD"
"Johanesia princeps Vell",NA,NA,"Not in GISD"
"Trema micrantha L.",NA,NA,"Not in GISD"
"Inga edulis",NA,NA,"Not in GISD"
"Inga cylindrica",NA,NA,"Not in GISD"
"Enterolobium contortisiliquum",NA,NA,"Not in GISD"
"Cytharexyllum myrianthum",NA,NA,"Not in GISD"
"Unha d cabra c/m espinho (sem identificação)",NA,NA,"Not in GISD"
"Sparattanthelium botocudorum",NA,NA,"Not in GISD"
"Piptadenia paniculata",NA,NA,"Not in GISD"
"Psidium cattleianum Sabine",NA,NA,"Not in GISD"
"Thyrsodium schomburgkianum",NA,NA,"Not in GISD"
"Canela folha longa",NA,NA,"Not in GISD"
"Jacaranda micrantha",NA,NA,"Not in GISD"
"Pradosia atroviolacea",NA,NA,"Not in GISD"
"Combuja",NA,NA,"Not in GISD"
"Sorocea bonplandii",NA,NA,"Not in GISD"
"Eugenia brasiliensis",NA,NA,"Not in GISD"
"Schizolobium parahyba",NA,NA,"Not in GISD"
"Tabebuia impetiginosa",NA,NA,"Not in GISD"
"Tabebuia heptaphylla",NA,NA,"Not in GISD"
"Ipê verde",NA,NA,"Not in GISD"
"Jabuti de macaco",NA,NA,"Not in GISD"
"Genipa americana",NA,NA,"Not in GISD"
"Cariniana",NA,NA,"Not in GISD"
"Nectandra rigida",NA,NA,"Not in GISD"
"Jaracatia spinosa",NA,NA,"Not in GISD"
"Manilkara salzmanii",NA,NA,"Not in GISD"
"Eugenia candolleana",NA,NA,"Not in GISD"
"Macrolobium bifolium",NA,NA,"Not in GISD"
"Johanesia princeps",NA,NA,"Not in GISD"
"Spondias lutea",NA,NA,"Not in GISD"
"Trema micrantha",NA,NA,"Not in GISD"
"Ingá laurinha",NA,NA,"Not in GISD"
"Byrsonima sericea",NA,NA,"Not in GISD"
"Tapirira guianensis",NA,NA,"Not in GISD"
"Unha de cabra",NA,NA,"Not in GISD"
"Bixa arborea",NA,NA,"Not in GISD"
"Protium heptaphyllum",NA,NA,"Not in GISD"
"Andira anthelmia",NA,NA,"Not in GISD"
"Psidium rufum",NA,NA,"Not in GISD"
"Peltophorum dubium (",NA,NA,"Not in GISD"
"Calophylum brasiliensis",NA,NA,"Not in GISD"
"Macrosamanea pedicellaris",NA,NA,"Not in GISD"
"Platymenia foliolosa",NA,NA,"Not in GISD"
"Bauhinia forficata",NA,NA,"Not in GISD"
"Dinizia excelsa Ducke",NA,NA,"Not in GISD"
"Swartzia euxylophora",NA,NA,"Not in GISD"
"Euphorbia grantii",NA,NA,"Not in GISD"
"Manilkara salzmani",NA,NA,"Not in GISD"
"Caesalpinea echinata",NA,NA,"Not in GISD"
