"Species","data_source_title","score","matched_name2"
"Eucalyptus macrorhyncha","The International Plant Names Index",0.988,"Eucalyptus macrorhyncha"
"Eucalyptus melliodora","The International Plant Names Index",0.988,"Eucalyptus melliodora"
"Allocasurina verticillata","Tropicos - Missouri Botanical Garden",0.75,"Allocasuarina verticillata"
"Bursaria spinosa","Tropicos - Missouri Botanical Garden",0.988,"Bursaria spinosa"
"Eucalyptus ovata","The International Plant Names Index",0.988,"Eucalyptus ovata"
"Eucalyptus viminalis","The International Plant Names Index",0.988,"Eucalyptus viminalis"
"Leptospermum contientale","Tropicos - Missouri Botanical Garden",0.75,"Leptospermum continentale"
"Leptospermum lanigerum","The International Plant Names Index",0.988,"Leptospermum lanigerum"
"Acacia pycnantha","The International Plant Names Index",0.988,"Acacia pycnantha"
"Alchornea triplinervia (Spreng.) Müll. Arg.","Tropicos - Missouri Botanical Garden",0.999,"Alchornea triplinervia"
"Allophyllus edulis (St. Hill.) Radlk.","The International Plant Names Index",0.75,"Allophylus edulis"
"Andira fraxinifolia Benth.","Tropicos - Missouri Botanical Garden",0.999,"Andira fraxinifolia"
"Annona coriaceae Mart.","Tropicos - Missouri Botanical Garden",0.96,"Annona coriacea"
"Annona mucosa","Tropicos - Missouri Botanical Garden",0.988,"Annona mucosa"
"Arapatiella psilophylla (Harms)","Tropicos - Missouri Botanical Garden",0.997,"Arapatiella psilophylla"
"Astronium fraxinifolium","The International Plant Names Index",0.988,"Astronium fraxinifolium"
"Bauhinia forficata Link","Tropicos - Missouri Botanical Garden",0.999,"Bauhinia forficata"
"Bixa arborea Benth.","Tropicos - Missouri Botanical Garden",0.75,"Bixa arborea"
"Caesalpinea echinata Lamark","Tropicos - Missouri Botanical Garden",0.96,"Caesalpinia echinata"
"Caesalpinea ferrea Mart.","Tropicos - Missouri Botanical Garden",0.96,"Caesalpinia ferrea"
"Cariniana legalis (Mart.) Kuntze","Tropicos - Missouri Botanical Garden",0.999,"Cariniana legalis"
"Cedrella odorata L.","Tropicos - Missouri Botanical Garden",0.999,"Cedrella odorata"
"Chloroleucon tortum","Tropicos - Missouri Botanical Garden",0.988,"Chloroleucon tortum"
"Clarisia racemosa R. & Pav.","Tropicos - Missouri Botanical Garden",0.997,"Clarisia racemosa"
"Copaifera lucens Dwyer","Tropicos - Missouri Botanical Garden",0.999,"Copaifera lucens"
"Cordia magnoliifolia Cham.","Tropicos - Missouri Botanical Garden",0.999,"Cordia magnoliifolia"
"Cordia trichotoma (Vell.) Arr. Ex. Steudl.","Tropicos - Missouri Botanical Garden",0.75,"Cordia trichotoma"
"Cytharexyllum myrianthum Cham.","Tropicos - Missouri Botanical Garden",0.96,"Citharexylum myrianthum"
"Dalbergia nigra Fr. All.","Tropicos - Missouri Botanical Garden",0.75,"Dalbergia nigra"
"Enterolobium contortisiliquum (Vell.) Morong.","Tropicos - Missouri Botanical Garden",0.997,"Enterolobium contortisiliquum"
"Eschweilera ovata (Camb.) Miers","Tropicos - Missouri Botanical Garden",0.997,"Eschweilera ovata"
"Eugenia florida DC.","Tropicos - Missouri Botanical Garden",0.999,"Eugenia florida"
"Eugenia uniflora","Tropicos - Missouri Botanical Garden",0.988,"Eugenia uniflora"
"Eugenia uniflora L.","Tropicos - Missouri Botanical Garden",0.999,"Eugenia uniflora"
"Ficus enormis (Mart. Ex Miq.) Miq.","Tropicos - Missouri Botanical Garden",0.997,"Ficus enormis"
"Gallesia integrifolia (Spreng.) harms","Tropicos - Missouri Botanical Garden",0.999,"Gallesia integrifolia"
"Genipa americana L","Tropicos - Missouri Botanical Garden",0.997,"Genipa americana"
"Inga marginata Willd","Tropicos - Missouri Botanical Garden",0.997,"Inga marginata"
"Ingá Mirim","Tropicos - Missouri Botanical Garden",0.75,"Inga"
"Jacarandá","Tropicos - Missouri Botanical Garden",0.75,"Jacaranda"
"Libidibia ferrea","Tropicos - Missouri Botanical Garden",0.988,"Libidibia ferrea"
"Machaerium nictitans (vell.) Benth.","The International Plant Names Index",0.988,"Machaerium nictitans"
"Macrolobium bifolium Pers.","The International Plant Names Index",0.999,"Macrolobium bifolium"
"Manilkara salzmanii (DC.) Lam.","The International Plant Names Index",0.96,"Manilkara salzmannii"
"Myrcia rostrata DC.","Tropicos - Missouri Botanical Garden",0.999,"Myrcia rostrata"
"Nectandra rubra","Tropicos - Missouri Botanical Garden",0.988,"Nectandra rubra"
"Nectandra rubra (Mez) C. K. Allen","Tropicos - Missouri Botanical Garden",0.997,"Nectandra rubra"
"Paubrasilia echinata","Tropicos - Missouri Botanical Garden",0.988,"Paubrasilia echinata"
"Peltophorum dubium (Spreng.) Taub.","Tropicos - Missouri Botanical Garden",0.999,"Peltophorum dubium"
"Peschiera fuchsiaefolia Miers","Tropicos - Missouri Botanical Garden",0.997,"Peschiera fuchsiaefolia"
"Platymenia foliolosa Benth.","Tropicos - Missouri Botanical Garden",0.96,"Plathymenia foliolosa"
"Pouteria bapeba","Tropicos - Missouri Botanical Garden",0.988,"Pouteria bapeba"
"Pouteria caimito","The International Plant Names Index",0.988,"Pouteria caimito"
"Protium heptaphyllum (Aubl.) Marchand","Tropicos - Missouri Botanical Garden",0.999,"Protium heptaphyllum"
"Pseudobombax grandiflorum (Cav.)","Tropicos - Missouri Botanical Garden",0.997,"Pseudobombax grandiflorum"
"Psidium cattleianum","The International Plant Names Index",0.988,"Psidium cattleianum"
"Pterocarpus rohrii Vahl","Tropicos - Missouri Botanical Garden",0.999,"Pterocarpus rohrii"
"Pterocarpus violaceus","Tropicos - Missouri Botanical Garden",0.988,"Pterocarpus violaceus"
"Pterogyne nitens Tul.","Tropicos - Missouri Botanical Garden",0.999,"Pterogyne nitens"
"Schinus terebenthifolia Raddi","Tropicos - Missouri Botanical Garden",0.96,"Schinus terebinthifolia"
"Schinus terebinthifolius","The International Plant Names Index",0.988,"Schinus terebinthifolius"
"Schizolobium parahyba (Vell.) S. F. Blake","Tropicos - Missouri Botanical Garden",0.997,"Schizolobium parahyba"
"Senna macranthera (DC. Ex Collad.)","The International Plant Names Index",0.988,"Senna macranthera"
"Spondias lutea L.","Tropicos - Missouri Botanical Garden",0.999,"Spondias lutea"
"Tabebuia heptaphylla (Vell.) Toledo","Tropicos - Missouri Botanical Garden",0.999,"Tabebuia heptaphylla"
"Tabebuia impetiginosa (Mart..ex Cond.) Standl","Tropicos - Missouri Botanical Garden",0.997,"Tabebuia impetiginosa"
"Tabebuia roseo-alba","Tropicos - Missouri Botanical Garden",0.75,"Tabebuia roseoalba"
"Tabebuia serratifolia (Vahl)Nichols","Tropicos - Missouri Botanical Garden",0.75,"Tabebuia serratifolia"
"Tapirira guianensis Aubl","Tropicos - Missouri Botanical Garden",0.997,"Tapirira guianensis"
"Vataireopsis araroba (Aguiar) Ducke","Tropicos - Missouri Botanical Garden",0.999,"Vataireopsis araroba"
"Zeyheria tuberculosa","Tropicos - Missouri Botanical Garden",0.988,"Zeyheria tuberculosa"
"Eucalyptus blakleyi","Tropicos - Missouri Botanical Garden",0.75,"Eucalyptus blakelyi"
"Eucalyptus polyanthemos","The International Plant Names Index",0.988,"Eucalyptus polyanthemos"
"Schinus terebenthifolia","Tropicos - Missouri Botanical Garden",0.75,"Schinus terebinthifolia"
"Inga marginata","Tropicos - Missouri Botanical Garden",0.988,"Inga marginata"
"Andira legalis","The International Plant Names Index",0.988,"Andira legalis"
"Cordia magnoliifolia","The International Plant Names Index",0.988,"Cordia magnoliifolia"
"Peltophorum dubium","The International Plant Names Index",0.988,"Peltophorum dubium"
"Cedrella odorata","Tropicos - Missouri Botanical Garden",0.988,"Cedrella odorata"
"Cecropia sp","Tropicos - Missouri Botanical Garden",0.75,"Cecropia"
"Dalbergia nigra","Tropicos - Missouri Botanical Garden",0.988,"Dalbergia nigra"
"Machaerium nictitans","The International Plant Names Index",0.988,"Machaerium nictitans"
"Himatanthus drasticus","Tropicos - Missouri Botanical Garden",0.988,"Himatanthus drasticus"
"Cariniana legalis","Tropicos - Missouri Botanical Garden",0.988,"Cariniana legalis"
"Gallesia integrifolia","The International Plant Names Index",0.988,"Gallesia integrifolia"
"Talisia esculenta","Tropicos - Missouri Botanical Garden",0.988,"Talisia esculenta"
"Euterpe oleracea","Tropicos - Missouri Botanical Garden",0.988,"Euterpe oleracea"
"Bactris gasipae","Tropicos - Missouri Botanical Garden",0.75,"Bactris gasipaes"
"Cedrela fissilis","Tropicos - Missouri Botanical Garden",0.988,"Cedrela fissilis"
"Theobroma grandiflora","Tropicos - Missouri Botanical Garden",0.75,"Theobroma grandiflorum"
"Bactris gasipaes","Tropicos - Missouri Botanical Garden",0.988,"Bactris gasipaes"
"Schizolobium amazonicum","Tropicos - Missouri Botanical Garden",0.988,"Schizolobium amazonicum"
"Carapa guianensis","Tropicos - Missouri Botanical Garden",0.988,"Carapa guianensis"
"Dipteryx","The International Plant Names Index",0.75,"Dipteryx"
"Dipteryx guianensis   Cumarú","Tropicos - Missouri Botanical Garden",0.75,"Dipteryx"
"Trema micrantha L.","Tropicos - Missouri Botanical Garden",0.997,"Trema micrantha"
"Inga cylindrica","Tropicos - Missouri Botanical Garden",0.988,"Inga cylindrica"
"Enterolobium contortisiliquum","Tropicos - Missouri Botanical Garden",0.988,"Enterolobium contortisiliquum"
"Cytharexyllum myrianthum","Tropicos - Missouri Botanical Garden",0.75,"Citharexylum myrianthum"
"Sparattanthelium botocudorum","The International Plant Names Index",0.988,"Sparattanthelium botocudorum"
"Piptadenia paniculata","The International Plant Names Index",0.988,"Piptadenia paniculata"
"Psidium cattleianum Sabine","The International Plant Names Index",0.999,"Psidium cattleianum"
"Thyrsodium schomburgkianum","The International Plant Names Index",0.988,"Thyrsodium schomburgkianum"
"Jacaranda micrantha","Tropicos - Missouri Botanical Garden",0.988,"Jacaranda micrantha"
"Pradosia atroviolacea","Tropicos - Missouri Botanical Garden",0.988,"Pradosia atroviolacea"
"Sorocea bonplandii","Tropicos - Missouri Botanical Garden",0.988,"Sorocea bonplandii"
"Eugenia brasiliensis","The International Plant Names Index",0.988,"Eugenia brasiliensis"
"Tabebuia impetiginosa","The International Plant Names Index",0.988,"Tabebuia impetiginosa"
"Tabebuia heptaphylla","Tropicos - Missouri Botanical Garden",0.988,"Tabebuia heptaphylla"
"Cariniana","The International Plant Names Index",0.75,"Cariniana"
"Nectandra rigida","The International Plant Names Index",0.988,"Nectandra rigida"
"Jaracatia spinosa","The International Plant Names Index",0.988,"Jaracatia spinosa"
"Manilkara salzmanii","Tropicos - Missouri Botanical Garden",0.75,"Manilkara salzmannii"
"Eugenia candolleana","Tropicos - Missouri Botanical Garden",0.988,"Eugenia candolleana"
"Macrolobium bifolium","Tropicos - Missouri Botanical Garden",0.988,"Macrolobium bifolium"
"Spondias lutea","Tropicos - Missouri Botanical Garden",0.988,"Spondias lutea"
"Ingá laurinha","Tropicos - Missouri Botanical Garden",0.75,"Inga laurina"
"Bixa arborea","Tropicos - Missouri Botanical Garden",0.988,"Bixa arborea"
"Protium heptaphyllum","The International Plant Names Index",0.988,"Protium heptaphyllum"
"Psidium rufum","The International Plant Names Index",0.988,"Psidium rufum"
"Peltophorum dubium (","Tropicos - Missouri Botanical Garden",0.988,"Peltophorum dubium"
"Calophylum brasiliensis","Tropicos - Missouri Botanical Garden",0.75,"Calophyllum brasiliense"
"Macrosamanea pedicellaris","Tropicos - Missouri Botanical Garden",0.988,"Macrosamanea pedicellaris"
"Platymenia foliolosa","Tropicos - Missouri Botanical Garden",0.75,"Plathymenia foliolosa"
"Bauhinia forficata","The International Plant Names Index",0.988,"Bauhinia forficata"
"Dinizia excelsa Ducke","Tropicos - Missouri Botanical Garden",0.999,"Dinizia excelsa"
"Swartzia euxylophora","Tropicos - Missouri Botanical Garden",0.988,"Swartzia euxylophora"
"Euphorbia grantii","Tropicos - Missouri Botanical Garden",0.988,"Euphorbia grantii"
"Manilkara salzmani","Tropicos - Missouri Botanical Garden",0.75,"Manilkara salzmannii"
"Caesalpinea echinata","Tropicos - Missouri Botanical Garden",0.75,"Caesalpinia echinata"
"Dialium pachyphillum","Tropicos - Missouri Botanical Garden",0.75,"Dialium pachyphyllum"
"Juniperus Thurifera","The International Plant Names Index",0.988,"Juniperus thurifera"
"Pinus pinea","Tropicos - Missouri Botanical Garden",0.988,"Pinus pinea"
"Juniperus oxycedrus","The International Plant Names Index",0.988,"Juniperus oxycedrus"
"Spartium Junceum","The International Plant Names Index",0.75,"Spartium"
"Pinus halepensis","The International Plant Names Index",0.988,"Pinus halepensis"
"Pinus nigra","The International Plant Names Index",0.988,"Pinus nigra"
"Juniperus thurifera","The International Plant Names Index",0.988,"Juniperus thurifera"
"Quercus ilex","The International Plant Names Index",0.988,"Quercus ilex"
"Quercus faginea","The International Plant Names Index",0.988,"Quercus faginea"
"Quercus Ilex","The International Plant Names Index",0.988,"Quercus ilex"
"Dracontemelon dao","Tropicos - Missouri Botanical Garden",0.75,"Dracontomelon dao"
"Acacia (Ear Leaf Acacia)","Tropicos - Missouri Botanical Garden",0.75,"Acacia"
"Mahua (Madhuca longifolia)","Tropicos - Missouri Botanical Garden",0.75,"Mahua"
"Acacia (Acacia auriculoformis)","Tropicos - Missouri Botanical Garden",0.75,"Acacia"
"Mahua (Madhuca indica)","Tropicos - Missouri Botanical Garden",0.75,"Mahua"
"Barringtonia actuangular","Tropicos - Missouri Botanical Garden",0.75,"Barringtonia acutangula"
"Diospyros cambodiana","Tropicos - Missouri Botanical Garden",0.988,"Diospyros cambodiana"
"Terminalia cambodiana","The International Plant Names Index",0.988,"Terminalia cambodiana"
"Crateva religiosa","Tropicos - Missouri Botanical Garden",0.988,"Crateva religiosa"
"Bridelia cambodiana","Tropicos - Missouri Botanical Garden",0.988,"Bridelia cambodiana"
"Barringtonia acutangular","Tropicos - Missouri Botanical Garden",0.75,"Barringtonia acutangula"
"Xanthophyllum glaucum","The International Plant Names Index",0.988,"Xanthophyllum glaucum"
"Cynometra ramiflora","The International Plant Names Index",0.988,"Cynometra ramiflora"
"Madhuca elliptica","Tropicos - Missouri Botanical Garden",0.988,"Madhuca elliptica"
"Combretum trifoliatum","Tropicos - Missouri Botanical Garden",0.988,"Combretum trifoliatum"
"Derris trifoliata","The International Plant Names Index",0.988,"Derris trifoliata"
"Ficus heterophylla","The International Plant Names Index",0.988,"Ficus heterophylla"
"Gmelina asiatica","Tropicos - Missouri Botanical Garden",0.988,"Gmelina asiatica"
"Swietenia humilis","Tropicos - Missouri Botanical Garden",0.988,"Swietenia humilis"
"Leucaena leucocophala","Tropicos - Missouri Botanical Garden",0.75,"Leucaena leucocephala"
"Cordia dodecandra","Tropicos - Missouri Botanical Garden",0.988,"Cordia dodecandra"
"Samanea saman","Tropicos - Missouri Botanical Garden",0.988,"Samanea saman"
"Anacardium excelsum","Tropicos - Missouri Botanical Garden",0.988,"Anacardium excelsum"
"Maclura tinctorea","Tropicos - Missouri Botanical Garden",0.75,"Maclura tinctoria"
"Inga sp2","Tropicos - Missouri Botanical Garden",0.75,"Inga"
"Sabal mauritiiformis","Tropicos - Missouri Botanical Garden",0.988,"Sabal mauritiiformis"
"Guarea guidonia","Tropicos - Missouri Botanical Garden",0.988,"Guarea guidonia"
"Vitex cymosa","The International Plant Names Index",0.988,"Vitex cymosa"
"Hymenaea coubaril","Tropicos - Missouri Botanical Garden",0.75,"Hymenaea courbaril"
"Artocarpus altilis","Tropicos - Missouri Botanical Garden",0.988,"Artocarpus altilis"
"Aspidosperma desmanthum","Tropicos - Missouri Botanical Garden",0.988,"Aspidosperma desmanthum"
"Cassia grandis","Tropicos - Missouri Botanical Garden",0.988,"Cassia grandis"
"Nectandra sp.","Tropicos - Missouri Botanical Garden",0.75,"Nectandra"
"Caesalpinea coriaria","Tropicos - Missouri Botanical Garden",0.75,"Caesalpinia coriaria"
"Zygia sp","Tropicos - Missouri Botanical Garden",0.75,"Zygia"
"Moringa oleifera","Tropicos - Missouri Botanical Garden",0.988,"Moringa oleifera"
"Protium sp.","Tropicos - Missouri Botanical Garden",0.75,"Protium"
"Tamarindus indica","Tropicos - Missouri Botanical Garden",0.988,"Tamarindus indica"
"Annona sp","Tropicos - Missouri Botanical Garden",0.75,"Annona"
"Albizia sp","Tropicos - Missouri Botanical Garden",0.75,"Albizia"
"Pterygota colombiana","Tropicos - Missouri Botanical Garden",0.988,"Pterygota colombiana"
"Syzygium sp.","Tropicos - Missouri Botanical Garden",0.75,"Syzygium"
"Cariniana pyriformis","Tropicos - Missouri Botanical Garden",0.988,"Cariniana pyriformis"
"Pachira quinata","Tropicos - Missouri Botanical Garden",0.988,"Pachira quinata"
"Tabebuia chrysantha","Tropicos - Missouri Botanical Garden",0.988,"Tabebuia chrysantha"
"Nectandra sp2","Tropicos - Missouri Botanical Garden",0.75,"Nectandra"
"Mammea americana","Tropicos - Missouri Botanical Garden",0.988,"Mammea americana"
"Trema sp.","Tropicos - Missouri Botanical Garden",0.75,"Trema"
"Ficus sp","Tropicos - Missouri Botanical Garden",0.75,"Ficus"
"Acacia melanoxlyn","Tropicos - Missouri Botanical Garden",0.75,"Acacia melanoxylon"
"Acacia verticillata","The International Plant Names Index",0.988,"Acacia verticillata"
"Allocasuarina littoralis","Tropicos - Missouri Botanical Garden",0.988,"Allocasuarina littoralis"
"Allocasuarina paludosa","Tropicos - Missouri Botanical Garden",0.988,"Allocasuarina paludosa"
"Allocasuarina pusilla","Tropicos - Missouri Botanical Garden",0.988,"Allocasuarina pusilla"
"Banksia integrifolia","The International Plant Names Index",0.988,"Banksia integrifolia"
"Banksia marginata","The International Plant Names Index",0.988,"Banksia marginata"
"Cassina aculeata","Tropicos - Missouri Botanical Garden",0.75,"Cassia aculeata"
"Coprosma quadrifida","Tropicos - Missouri Botanical Garden",0.988,"Coprosma quadrifida"
"Correa alba","The International Plant Names Index",0.988,"Correa alba"
"Eucalyptus pyoriana","Tropicos - Missouri Botanical Garden",0.75,"Eucalyptus pryoriana"
"Eucalyptus obliqua","The International Plant Names Index",0.988,"Eucalyptus obliqua"
"Eucalyptus radiata","The International Plant Names Index",0.988,"Eucalyptus radiata"
"Goodenia ovata","The International Plant Names Index",0.988,"Goodenia ovata"
"Gynatrix puchella","Tropicos - Missouri Botanical Garden",0.75,"Gynatrix pulchella"
"Hakea decurens","Tropicos - Missouri Botanical Garden",0.75,"Hakea decurrens"
"indigofera  australis","The International Plant Names Index",0.988,"Indigofera australis"
"Leptospermum laeviguatum","Tropicos - Missouri Botanical Garden",0.75,"Leptospermum laevigatum"
"Leptospermum myrsoidies","Tropicos - Missouri Botanical Garden",0.75,"Leptospermum myrsinoides"
"Melaleuca ericifolia","The International Plant Names Index",0.988,"Melaleuca ericifolia"
"Melaleuca squarossa","Tropicos - Missouri Botanical Garden",0.75,"Melaleuca squarrosa"
"Melicytus dentata","Tropicos - Missouri Botanical Garden",0.75,"Melicytus dentatus"
"Olearia lirata","The International Plant Names Index",0.988,"Olearia lirata"
"Olearia phlogoppa","Tropicos - Missouri Botanical Garden",0.75,"Olearia phlogopappa"
"Pomaderris aspera","Tropicos - Missouri Botanical Garden",0.988,"Pomaderris aspera"
"Viminaria juncea","Tropicos - Missouri Botanical Garden",0.988,"Viminaria juncea"
"Allocasuarina verticillata","Tropicos - Missouri Botanical Garden",0.988,"Allocasuarina verticillata"
"Banksia Integrifolia","The International Plant Names Index",0.988,"Banksia integrifolia"
"Eucalyptus viminalis subsp. pryoriana","Tropicos - Missouri Botanical Garden",0.999,"Eucalyptus viminalis pryoriana"
"Kunzea ericoides","Tropicos - Missouri Botanical Garden",0.988,"Kunzea ericoides"
"Leptospermum continentale","Tropicos - Missouri Botanical Garden",0.988,"Leptospermum continentale"
"Acacia dealbata subsp. dealbata","Tropicos - Missouri Botanical Garden",0.999,"Acacia dealbata dealbata"
"Acacia melanoxylon","The International Plant Names Index",0.988,"Acacia melanoxylon"
"Cassinia aculeata","The International Plant Names Index",0.988,"Cassinia aculeata"
"Cassinia trinerva","Tropicos - Missouri Botanical Garden",0.988,"Cassinia trinerva"
"Eucalyptus cypellocarpa","Tropicos - Missouri Botanical Garden",0.988,"Eucalyptus cypellocarpa"
"Goodia lotifolia","Tropicos - Missouri Botanical Garden",0.988,"Goodia lotifolia"
"Gynatrix pulchella","Tropicos - Missouri Botanical Garden",0.988,"Gynatrix pulchella"
"Hedycarya angustifolia","Tropicos - Missouri Botanical Garden",0.988,"Hedycarya angustifolia"
"Myrsine howittiana","Tropicos - Missouri Botanical Garden",0.988,"Myrsine howittiana"
"Olearia argophylla","The International Plant Names Index",0.988,"Olearia argophylla"
"Ozothamnus ferrugineus","The International Plant Names Index",0.988,"Ozothamnus ferrugineus"
"Prostanthera lasianthos","The International Plant Names Index",0.988,"Prostanthera lasianthos"
"Solanum aviculare","The International Plant Names Index",0.988,"Solanum aviculare"
"Bedfordia arborescens","Tropicos - Missouri Botanical Garden",0.988,"Bedfordia arborescens"
"Eucalyptus regnans","The International Plant Names Index",0.988,"Eucalyptus regnans"
"Eucalyptus strzeleckii","Tropicos - Missouri Botanical Garden",0.988,"Eucalyptus strzeleckii"
"Melaleuca squarrosa","The International Plant Names Index",0.988,"Melaleuca squarrosa"
"Pittosporum biclor","Tropicos - Missouri Botanical Garden",0.75,"Pittosporum bicolor"
"Polysicas sambucifolia","Tropicos - Missouri Botanical Garden",0.75,"Polyscias sambucifolia"
"Tasmannia lanceolata","Tropicos - Missouri Botanical Garden",0.988,"Tasmannia lanceolata"
"Melicytus dentatus","Tropicos - Missouri Botanical Garden",0.988,"Melicytus dentatus"
"Acacia rubida","Tropicos - Missouri Botanical Garden",0.988,"Acacia rubida"
"Dodoanea viscosa sub angustissima","Tropicos - Missouri Botanical Garden",0.75,"Dodonaea viscosa"
"Eucalyptus blakelyi","The International Plant Names Index",0.988,"Eucalyptus blakelyi"
"Eucalyptus bridgesiana","The International Plant Names Index",0.988,"Eucalyptus bridgesiana"
"Eucalyptus rubida","The International Plant Names Index",0.988,"Eucalyptus rubida"
"Acacia deanei","The International Plant Names Index",0.988,"Acacia deanei"
"Acacia decora","The International Plant Names Index",0.988,"Acacia decora"
"Acacia hakeoides","The International Plant Names Index",0.988,"Acacia hakeoides"
"Acacia implexa","The International Plant Names Index",0.988,"Acacia implexa"
"Eucalyptus albens","The International Plant Names Index",0.988,"Eucalyptus albens"
"Acacia decurrens","The International Plant Names Index",0.988,"Acacia decurrens"
"Acacia falcata","The International Plant Names Index",0.988,"Acacia falcata"
"Eucalyptus crebra","The International Plant Names Index",0.988,"Eucalyptus crebra"
"Eucalyptus eugenoides","Tropicos - Missouri Botanical Garden",0.75,"Eucalyptus eugenioides"
"Eucalyptus tereticornis","The International Plant Names Index",0.988,"Eucalyptus tereticornis"
"Melaleuca styphelioides","The International Plant Names Index",0.988,"Melaleuca styphelioides"
"Acacia parramattensis","Tropicos - Missouri Botanical Garden",0.988,"Acacia parramattensis"
"Ozothamnus diosmifolius","Tropicos - Missouri Botanical Garden",0.988,"Ozothamnus diosmifolius"
"Eucalyptus diversifolia","Tropicos - Missouri Botanical Garden",0.988,"Eucalyptus diversifolia"
"Eucalyptus leucoxylon","The International Plant Names Index",0.988,"Eucalyptus leucoxylon"
"Melaleuca lanceolata","The International Plant Names Index",0.988,"Melaleuca lanceolata"
"Dodonaea viscosa","The International Plant Names Index",0.988,"Dodonaea viscosa"
"Maesopsis emenii","Tropicos - Missouri Botanical Garden",0.75,"Maesopsis eminii"
"Eucalyptus mannifera","The International Plant Names Index",0.988,"Eucalyptus mannifera"
"Eucalyptus bridgesiana ","The International Plant Names Index",0.988,"Eucalyptus bridgesiana"
"Acacia buxifolia","The International Plant Names Index",0.988,"Acacia buxifolia"
"Canarium Schweinfurtii","Tropicos - Missouri Botanical Garden",0.75,"Canarium"
"Dodonaea viscosa ","The International Plant Names Index",0.988,"Dodonaea viscosa"
"Dodonaea triquetra ","Tropicos - Missouri Botanical Garden",0.988,"Dodonaea triquetra"
"Daviesia genistifolia ","The International Plant Names Index",0.988,"Daviesia genistifolia"
"Daviesia ulicifolia ","Tropicos - Missouri Botanical Garden",0.988,"Daviesia ulicifolia"
"Daviesia acicularis ","Tropicos - Missouri Botanical Garden",0.988,"Daviesia acicularis"
"Hakea sericea ","The International Plant Names Index",0.988,"Hakea sericea"
"Jacksonia scorparia ","Tropicos - Missouri Botanical Garden",0.75,"Jacksonia scoparia"
"Kunzea ambigua ","Tropicos - Missouri Botanical Garden",0.988,"Kunzea ambigua"
"Melaleuca decora ","Tropicos - Missouri Botanical Garden",0.988,"Melaleuca decora"
"Melaleuca squarossa ","Tropicos - Missouri Botanical Garden",0.75,"Melaleuca squarrosa"
"Acacia melanoxylon               ","The International Plant Names Index",0.988,"Acacia melanoxylon"
"Acacia verticillata                     ","The International Plant Names Index",0.988,"Acacia verticillata"
"Cassinia aculeata                       ","The International Plant Names Index",0.988,"Cassinia aculeata"
"Eucalyptus obliqua                     ","The International Plant Names Index",0.988,"Eucalyptus obliqua"
"Eucalyptus ovata                        ","The International Plant Names Index",0.988,"Eucalyptus ovata"
"Eucalyptus radiata          ","The International Plant Names Index",0.988,"Eucalyptus radiata"
